tipo_celular,module_size,TUBGCP2_MM,TUBGCP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.109,17.0,140,4,2.86,4.23 (4.11-4.35),136,97.14,4.51 (4.08-4.94)
T cells 18,506,0.143,33.0,225,11,4.89,2.79 (1.77-3.80),214,95.11,3.67 (3.41-3.93)
astrocytes 5,1656,0.106,35.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.084,3.0,353,30,8.5,1.92 (1.46-2.38),323,91.5,4.12 (3.93-4.30)
GABA neurons expressing GLU receptors 22,703,0.189,53.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,489,0.107,28.0,42,3,7.14,5.19 (4.84-5.54),39,92.86,6.08 (5.47-6.69)
da like neurons 11,172,0.101,8.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,357,0.118,26.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,338,0.093,28.0,191,5,2.62,4.55 (2.94-6.16),186,97.38,3.87 (3.64-4.09)
oligodendrocytes 20,322,0.097,37.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.107,11.0,455,22,4.84,2.09 (1.43-2.76),433,95.16,4.50 (4.31-4.68)
astrocytes 8,603,0.061,35.0,89,1,1.12,3.55 (NA-NA),88,98.88,2.75 (2.39-3.10)
oligodendrocyte progenitor cells 12,708,0.035,4.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93)
oligodendrocytes 10,735,0.109,58.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,118,0.288,42.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,377,0.044,6.0,14,9,64.29,2.71 (1.14-4.29),5,35.71,0.79 (-0.13-1.70)
oligodendrocytes 16,122,0.338,95.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,409,0.165,67.0,235,7,2.98,3.45 (2.43-4.46),228,97.02,4.00 (3.74-4.25)
astrocytes microglia 23,157,0.312,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.158,74.0,104,11,10.58,1.70 (1.04-2.36),93,89.42,3.01 (2.72-3.30)
oligodendrocytes 0,2078,0.1,23.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,480,0.081,2.0,163,1,0.61,4.81 (NA-NA),162,99.39,3.70 (3.43-3.97)
oligodendrocytes 3,357,0.045,6.0,127,2,1.57,6.67 (NA-NA),125,98.43,3.08 (2.76-3.41)
oligodendrocytes 2,1630,0.129,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
