tipo_celular,module_size,KPNA6_MM,KPNA6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.198,45.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,393,0.118,27.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,932,0.1,37.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.113,21.0,353,37,10.48,2.57 (2.04-3.10),316,89.52,4.07 (3.88-4.26)
GABA neurons expressing GLU receptors 22,848,0.215,53.0,262,10,3.82,2.98 (1.84-4.13),252,96.18,4.22 (3.97-4.47)
GLU like neurons 17,1247,0.173,74.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,1220,0.114,21.0,410,14,3.41,3.26 (2.46-4.06),396,96.59,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,77,0.179,54.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.09,20.0,297,2,0.67,4.52 (4.52-4.52),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,228,0.193,48.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,2090,0.144,42.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.049,14.0,66,14,21.21,1.66 (1.02-2.29),52,78.79,3.74 (3.32-4.15)
oligodendrocyte progenitor cells 12,3303,0.073,43.0,276,29,10.51,2.90 (2.36-3.44),247,89.49,3.62 (3.39-3.86)
oligodendrocytes 10,735,0.114,60.0,277,3,1.08,6.03 (5.93-6.13),274,98.92,3.87 (3.63-4.11)
connective tissue cells 21,125,0.233,23.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401,0.072,36.0,96,4,4.17,2.50 (1.30-3.70),92,95.83,3.66 (3.19-4.12)
oligodendrocytes 16,156,0.193,45.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,307,0.166,80.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,83,0.256,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.163,73.0,61,2,3.28,4.52 (4.52-4.52),59,96.72,2.91 (2.49-3.33)
oligodendrocytes 0,1186,0.131,29.0,300,2,0.67,3.61 (0.57-6.65),298,99.33,3.79 (3.59-4.00)
microglia 1,958,0.112,52.0,290,22,7.59,3.48 (2.84-4.11),268,92.41,3.84 (3.60-4.09)
oligodendrocytes 3,681,0.055,11.0,87,12,13.79,1.88 (1.23-2.53),75,86.21,2.71 (2.42-3.00)
oligodendrocytes 2,921,0.136,47.0,200,20,10.0,3.89 (3.38-4.40),180,90.0,3.60 (3.32-3.88)
