tipo_celular,module_size,PRPF4B_MM,PRPF4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.181,29.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610,0.062,2.0,98,38,38.78,2.12 (1.70-2.53),60,61.22,3.81 (3.47-4.16)
astrocytes 5,1141,0.136,57.0,166,28,16.87,2.21 (1.76-2.66),138,83.13,3.67 (3.40-3.94)
oligodendrocyte progenitor cells 7,628,0.094,5.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,487,0.099,6.0,73,5,6.85,1.64 (1.24-2.04),68,93.15,2.85 (2.44-3.26)
GLU like neurons 17,685,0.089,21.0,135,18,13.33,2.00 (1.45-2.56),117,86.67,3.41 (3.08-3.74)
da like neurons 11,97,0.13,32.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,80,0.208,78.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385,0.106,53.0,275,43,15.64,1.91 (1.59-2.23),232,84.36,4.50 (4.24-4.75)
oligodendrocytes 20,403,0.067,29.0,18,11,61.11,1.30 (0.67-1.93),7,38.89,2.79 (1.59-3.99)
GABA like neurons 14,2402,0.112,12.0,455,34,7.47,1.93 (1.54-2.32),421,92.53,4.61 (4.43-4.79)
astrocytes 8,262,0.096,29.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708,0.095,40.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107,0.218,74.0,358,54,15.08,2.20 (1.86-2.53),304,84.92,4.26 (4.07-4.45)
connective tissue cells 21,116,0.192,5.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,338,0.131,35.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20)
oligodendrocytes 16,82,0.207,73.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.093,39.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,190,0.315,78.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21)
astrocytes 4,721,0.157,61.0,61,5,8.2,3.54 (2.98-4.11),56,91.8,2.91 (2.46-3.36)
oligodendrocytes 0,613,0.153,59.0,127,19,14.96,2.59 (2.12-3.05),108,85.04,3.17 (2.67-3.67)
microglia 1,1615,0.081,11.0,161,43,26.71,1.98 (1.61-2.36),118,73.29,3.85 (3.57-4.13)
oligodendrocytes 3,357,0.205,90.0,127,7,5.51,3.31 (2.87-3.76),120,94.49,3.11 (2.76-3.46)
oligodendrocytes 2,921,0.113,15.0,200,14,7.0,2.92 (2.49-3.35),186,93.0,3.68 (3.39-3.96)
