tipo_celular,module_size,PCMTD1_MM,PCMTD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.146,38.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624,0.166,61.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.151,76.0,166,17,10.24,2.74 (1.98-3.50),149,89.76,3.48 (3.22-3.75)
oligodendrocyte progenitor cells 7,4285,0.164,89.0,353,26,7.37,2.55 (1.95-3.16),327,92.63,4.03 (3.84-4.22)
GABA neurons expressing GLU receptors 22,823,0.186,55.0,23,5,21.74,2.83 (1.90-3.76),18,78.26,2.23 (1.29-3.17)
GLU like neurons 17,795,0.153,61.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197,0.253,63.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.107,14.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.125,48.0,297,8,2.69,4.27 (3.50-5.03),289,97.31,3.65 (3.45-3.86)
oligodendrocytes 20,330,0.107,22.0,36,4,11.11,2.13 (1.19-3.07),32,88.89,1.89 (1.51-2.27)
GABA like neurons 14,1300,0.142,20.0,306,7,2.29,2.68 (1.74-3.61),299,97.71,5.18 (4.91-5.44)
astrocytes 8,727,0.098,44.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303,0.134,95.0,276,22,7.97,2.83 (2.21-3.45),254,92.03,3.62 (3.39-3.85)
oligodendrocytes 10,2107,0.157,54.0,358,30,8.38,2.55 (1.95-3.16),328,91.62,4.00 (3.81-4.20)
connective tissue cells 21,104,0.17,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.067,30.0,105,18,17.14,2.34 (1.70-2.98),87,82.86,3.41 (3.04-3.78)
oligodendrocytes 16,86,0.169,42.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.098,27.0,124,6,4.84,3.99 (3.05-4.93),118,95.16,4.20 (3.78-4.61)
astrocytes microglia 23,253,0.253,48.0,47,3,6.38,2.83 (0.98-4.69),44,93.62,2.85 (2.51-3.18)
astrocytes 4,752,0.161,62.0,96,3,3.12,4.95 (4.11-5.79),93,96.88,3.22 (2.89-3.56)
oligodendrocytes 0,1186,0.151,62.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,1615,0.155,91.0,161,25,15.53,2.58 (1.95-3.20),136,84.47,3.44 (3.14-3.73)
oligodendrocytes 3,681,0.095,50.0,87,13,14.94,2.12 (1.40-2.84),74,85.06,2.67 (2.38-2.96)
oligodendrocytes 2,921,0.126,31.0,200,3,1.5,3.26 (1.74-4.79),197,98.5,3.63 (3.36-3.90)
