tipo_celular,module_size,ZSWIM6_MM,ZSWIM6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.141,36.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,349,0.226,64.0,68,5,7.35,5.09 (4.67-5.51),63,92.65,4.29 (3.68-4.90)
astrocytes 5,222,0.223,58.0,98,5,5.1,5.19 (3.63-6.75),93,94.9,4.56 (4.14-4.98)
oligodendrocyte progenitor cells 7,436,0.138,56.0,219,14,6.39,4.34 (3.51-5.17),205,93.61,5.29 (4.99-5.59)
GABA neurons expressing GLU receptors 22,192,0.165,69.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,637,0.24,73.0,91,5,5.49,3.20 (1.27-5.13),86,94.51,4.64 (4.10-5.18)
da like neurons 11,137,0.401,85.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.329,89.0,93,13,13.98,4.64 (3.89-5.39),80,86.02,5.26 (4.68-5.84)
endothelial cells 9,412,0.329,93.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,676,0.199,43.0,110,7,6.36,4.62 (3.95-5.29),103,93.64,5.03 (4.54-5.52)
GABA like neurons 14,1300,0.239,65.0,306,16,5.23,4.20 (3.29-5.10),290,94.77,5.16 (4.89-5.44)
astrocytes 8,727,0.111,52.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,411,0.165,55.0,103,5,4.85,3.76 (2.04-5.47),98,95.15,5.64 (5.26-6.03)
oligodendrocytes 10,204,0.197,13.0,92,1,1.09,6.33 (NA-NA),91,98.91,5.69 (5.21-6.17)
connective tissue cells 21,106,0.278,60.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,418,0.238,62.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,71,0.13,19.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,398,0.362,91.0,138,6,4.35,4.88 (3.48-6.28),132,95.65,4.82 (4.44-5.20)
astrocytes microglia 23,327,0.237,18.0,120,0,0.0,NA,120,100.0,3.62 (3.32-3.92)
astrocytes 4,514,0.286,83.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,117,0.102,17.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,480,0.247,73.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681,0.118,70.0,87,5,5.75,2.55 (1.33-3.77),82,94.25,2.59 (2.30-2.87)
oligodendrocytes 2,348,0.139,18.0,114,14,12.28,4.16 (3.42-4.90),100,87.72,5.28 (4.83-5.73)
