tipo_celular,module_size,AKT3_MM,AKT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.354,78.0,140,18,12.86,3.75 (3.14-4.37),122,87.14,4.69 (4.39-5.00)
T cells 18,388,0.137,43.0,84,1,1.19,3.70 (NA-NA),83,98.81,2.96 (2.63-3.29)
astrocytes 5,222,0.118,13.0,98,10,10.2,4.60 (3.06-6.14),88,89.8,4.60 (4.18-5.01)
oligodendrocyte progenitor cells 7,4285,0.104,12.0,353,34,9.63,2.57 (2.19-2.95),319,90.37,4.08 (3.88-4.27)
GABA neurons expressing GLU receptors 22,459,0.207,69.0,165,10,6.06,2.35 (1.54-3.16),155,93.94,5.33 (4.99-5.66)
GLU like neurons 17,795,0.08,16.0,80,3,3.75,4.17 (3.97-4.36),77,96.25,5.77 (5.34-6.19)
da like neurons 11,101,0.388,80.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288,0.203,62.0,93,11,11.83,3.01 (2.00-4.01),82,88.17,5.54 (5.04-6.04)
endothelial cells 9,1653,0.221,94.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,676,0.438,72.0,110,17,15.45,3.34 (2.53-4.16),93,84.55,5.45 (4.99-5.92)
GABA like neurons 14,1300,0.252,70.0,306,34,11.11,3.26 (2.77-3.76),272,88.89,5.45 (5.19-5.72)
astrocytes 8,577,0.088,53.0,83,5,6.02,2.28 (1.46-3.09),78,93.98,3.33 (2.85-3.81)
oligodendrocyte progenitor cells 12,411,0.177,56.0,103,2,1.94,3.83 (1.08-6.58),101,98.06,5.59 (5.20-5.98)
oligodendrocytes 10,204,0.299,21.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,110,0.164,1.0,13,3,23.08,2.43 (0.97-3.89),10,76.92,3.32 (2.34-4.30)
astrocytes 15,418,0.286,70.0,54,1,1.85,3.70 (NA-NA),53,98.15,3.68 (3.23-4.13)
oligodendrocytes 16,287,0.213,29.0,105,23,21.9,3.95 (3.05-4.86),82,78.1,5.62 (5.20-6.05)
da neurons 6,398,0.22,73.0,138,28,20.29,3.28 (2.73-3.82),110,79.71,5.31 (4.91-5.71)
astrocytes microglia 23,49,0.208,7.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,514,0.215,65.0,95,16,16.84,2.63 (2.04-3.22),79,83.16,3.58 (3.08-4.08)
oligodendrocytes 0,117,0.061,2.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,315,0.161,45.0,144,10,6.94,4.33 (3.02-5.65),134,93.06,4.47 (4.16-4.79)
oligodendrocytes 3,127,0.154,12.0,45,8,17.78,2.96 (1.95-3.97),37,82.22,4.92 (3.88-5.96)
oligodendrocytes 2,237,0.116,6.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
