tipo_celular,module_size,NCOR1_MM,NCOR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.185,41.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,388,0.153,51.0,84,10,11.9,2.65 (2.31-3.00),74,88.1,3.02 (2.65-3.39)
astrocytes 5,932,0.099,36.0,80,17,21.25,5.46 (4.49-6.42),63,78.75,3.36 (2.96-3.76)
oligodendrocyte progenitor cells 7,448,0.16,65.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599,0.091,3.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.102,30.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41)
da like neurons 11,853,0.233,91.0,133,61,45.86,2.44 (2.14-2.74),72,54.14,4.21 (3.75-4.67)
GABA neurons expressing GABA receptors 13,288,0.18,55.0,93,5,5.38,1.80 (0.41-3.20),88,94.62,5.40 (4.93-5.87)
endothelial cells 9,1653,0.178,82.0,297,9,3.03,4.31 (3.28-5.35),288,96.97,3.65 (3.44-3.86)
oligodendrocytes 20,298,0.118,44.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.296,87.0,306,26,8.5,2.53 (2.03-3.03),280,91.5,5.41 (5.16-5.67)
astrocytes 8,1266,0.098,66.0,66,31,46.97,2.56 (1.95-3.18),35,53.03,3.91 (3.46-4.36)
oligodendrocyte progenitor cells 12,138,0.432,33.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107,0.307,90.0,358,89,24.86,2.49 (2.17-2.80),269,75.14,4.48 (4.30-4.66)
connective tissue cells 21,145,0.178,3.0,1,1,100.0,NA,0,0.0,NA
astrocytes 15,1768,0.111,72.0,105,26,24.76,2.02 (1.54-2.50),79,75.24,3.65 (3.27-4.02)
oligodendrocytes 16,151,0.203,54.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,398,0.167,57.0,138,26,18.84,2.91 (2.36-3.47),112,81.16,5.37 (4.99-5.75)
astrocytes microglia 23,229,0.197,16.0,99,1,1.01,2.43 (NA-NA),98,98.99,4.32 (3.98-4.65)
astrocytes 4,752,0.139,30.0,96,16,16.67,3.08 (2.51-3.65),80,83.33,3.34 (2.96-3.73)
oligodendrocytes 0,1186,0.165,82.0,300,27,9.0,3.88 (3.41-4.35),273,91.0,3.78 (3.56-4.01)
microglia 1,958,0.103,38.0,290,25,8.62,3.14 (2.50-3.78),265,91.38,3.89 (3.65-4.13)
oligodendrocytes 3,854,0.122,79.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,407,0.146,41.0,122,87,71.31,2.97 (2.52-3.41),35,28.69,4.49 (3.90-5.08)
