tipo_celular,module_size,GDAP1_MM,GDAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.142,38.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.132,50.0,166,4,2.41,0.62 (0.22-1.02),162,97.59,3.47 (3.23-3.72)
oligodendrocyte progenitor cells 7,436.0,0.057,7.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,714.0,0.148,30.0,17,1,5.88,2.06 (NA-NA),16,94.12,2.32 (1.70-2.94)
GLU like neurons 17,795.0,0.254,87.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197.0,0.376,90.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.117,21.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,450.0,0.214,52.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,275.0,0.315,83.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300.0,0.024,1.0,306,9,2.94,1.89 (1.31-2.48),297,97.06,5.24 (4.98-5.49)
astrocytes 8,771.0,0.091,38.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,254.0,0.362,73.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,806.0,0.118,34.0,261,9,3.45,2.05 (1.77-2.33),252,96.55,4.48 (4.23-4.72)
connective tissue cells 21,250.0,0.233,25.0,117,3,2.56,1.59 (1.30-1.88),114,97.44,5.51 (5.13-5.89)
astrocytes 15,458.0,0.139,71.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,64.0,0.205,58.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,553.0,0.132,54.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,107.0,0.237,11.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,752.0,0.186,93.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.166,83.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,813.0,0.109,42.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,681.0,0.178,93.0,87,6,6.9,1.38 (0.43-2.33),81,93.1,2.68 (2.41-2.95)
oligodendrocytes 2,921.0,0.185,97.0,200,5,2.5,3.28 (2.14-4.43),195,97.5,3.63 (3.36-3.90)
