tipo_celular,module_size,CPD_MM,CPD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.225,64.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,610,0.126,29.0,98,8,8.16,1.13 (0.44-1.82),90,91.84,3.32 (3.01-3.63)
astrocytes 5,1656,0.145,91.0,136,5,3.68,1.93 (1.13-2.73),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,666,0.14,28.0,127,6,4.72,4.07 (2.34-5.80),121,95.28,3.83 (3.48-4.17)
GABA neurons expressing GLU receptors 22,1069,0.211,80.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.092,21.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853,0.126,47.0,133,10,7.52,1.13 (0.60-1.66),123,92.48,3.46 (3.15-3.77)
GABA neurons expressing GABA receptors 13,288,0.095,7.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,658,0.311,80.0,120,1,0.83,3.22 (NA-NA),119,99.17,4.62 (4.30-4.94)
oligodendrocytes 20,253,0.172,58.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090,0.083,6.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,771,0.102,43.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.143,64.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277,0.086,36.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106,0.277,48.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1401,0.064,29.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,91,0.136,10.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,518,0.077,14.0,122,12,9.84,1.70 (0.80-2.59),110,90.16,4.20 (3.81-4.60)
astrocytes microglia 23,78,0.289,24.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.142,35.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,309,0.124,38.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,958,0.097,28.0,290,2,0.69,2.73 (1.22-4.24),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,639,0.121,69.0,15,3,20.0,2.04 (0.37-3.71),12,80.0,3.69 (2.03-5.36)
oligodendrocytes 2,347,0.175,41.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
