tipo_celular,module_size,SEC62_MM,SEC62_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.222,59.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282,0.136,39.0,241,3,1.24,4.40 (3.60-5.19),238,98.76,4.05 (3.79-4.30)
astrocytes 5,328,0.153,45.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.178,58.0,164,12,7.32,5.53 (4.42-6.64),152,92.68,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,848,0.421,94.0,262,12,4.58,3.52 (2.68-4.37),250,95.42,4.20 (3.94-4.46)
GLU like neurons 17,637,0.174,56.0,91,8,8.79,0.75 (0.17-1.33),83,91.21,5.05 (4.60-5.50)
da like neurons 11,1220,0.349,88.0,410,23,5.61,4.66 (3.94-5.39),387,94.39,4.21 (4.02-4.41)
GABA neurons expressing GABA receptors 13,77,0.184,65.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,916,0.312,74.0,302,8,2.65,4.50 (2.44-6.57),294,97.35,3.96 (3.74-4.18)
oligodendrocytes 20,938,0.166,69.0,169,9,5.33,3.04 (2.22-3.87),160,94.67,3.51 (3.28-3.74)
GABA like neurons 14,2402,0.727,99.0,455,24,5.27,3.33 (2.53-4.13),431,94.73,4.42 (4.23-4.61)
astrocytes 8,520,0.182,67.0,288,21,7.29,3.83 (3.18-4.48),267,92.71,4.21 (4.00-4.42)
oligodendrocyte progenitor cells 12,1049,0.195,84.0,235,8,3.4,5.47 (3.98-6.97),227,96.6,3.75 (3.52-3.98)
oligodendrocytes 10,806,0.322,83.0,261,11,4.21,3.91 (2.65-5.17),250,95.79,4.39 (4.15-4.64)
connective tissue cells 21,101,0.23,19.0,116,7,6.03,2.19 (1.70-2.68),109,93.97,4.84 (4.42-5.25)
astrocytes 15,367,0.157,59.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.133,13.0,291,23,7.9,4.07 (3.42-4.71),268,92.1,4.36 (4.12-4.59)
da neurons 6,729,0.23,84.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,110,0.233,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.127,12.0,178,18,10.11,2.21 (1.59-2.83),160,89.89,4.45 (4.19-4.71)
oligodendrocytes 0,546,0.19,62.0,252,12,4.76,2.23 (0.93-3.52),240,95.24,4.22 (3.97-4.46)
microglia 1,214,0.16,44.0,227,4,1.76,3.42 (1.43-5.40),223,98.24,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.17,72.0,345,24,6.96,3.97 (3.31-4.62),321,93.04,4.31 (4.09-4.53)
oligodendrocytes 2,526,0.367,78.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23)
