tipo_celular,module_size,RAD23B_MM,RAD23B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.079,4.0,97,2,2.06,3.72 (0.88-6.56),95,97.94,3.04 (2.64-3.44)
T cells 18,727,0.161,63.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.134,54.0,166,34,20.48,2.65 (2.13-3.17),132,79.52,3.62 (3.35-3.90)
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,48,13.6,2.27 (1.87-2.66),305,86.4,4.21 (4.03-4.39)
GABA neurons expressing GLU receptors 22,1069,0.141,33.0,37,2,5.41,1.52 (NA-NA),35,94.59,2.18 (1.71-2.64)
GLU like neurons 17,1316,0.114,42.0,101,4,3.96,4.05 (NA-NA),97,96.04,3.04 (2.69-3.39)
da like neurons 11,145,0.347,82.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,67,0.13,17.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,586,0.078,10.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,298,0.172,62.0,6,1,16.67,NA,5,83.33,0.26 (NA-NA)
GABA like neurons 14,2402,0.149,24.0,455,41,9.01,2.98 (2.35-3.61),414,90.99,4.54 (4.35-4.72)
astrocytes 8,603,0.06,34.0,89,6,6.74,1.39 (0.80-1.98),83,93.26,2.90 (2.53-3.26)
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,42,15.22,2.46 (2.09-2.84),234,84.78,3.79 (3.55-4.03)
oligodendrocytes 10,735,0.096,51.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,69,0.318,62.0,1,1,100.0,NA,0,0.0,NA
astrocytes 15,1768,0.072,35.0,105,27,25.71,2.45 (1.94-2.95),78,74.29,3.51 (3.11-3.91)
oligodendrocytes 16,105,0.222,49.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,448,0.094,41.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,116,0.326,53.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,787,0.152,52.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.11,42.0,238,10,4.2,3.02 (1.93-4.12),228,95.8,3.66 (3.44-3.89)
microglia 1,813,0.101,29.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,743,0.105,76.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.157,81.0,200,7,3.5,3.22 (2.36-4.08),193,96.5,3.64 (3.36-3.91)
