tipo_celular,module_size,PPP4R3B_MM,PPP4R3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.235,68.0,21,12,57.14,1.57 (0.94-2.20),9,42.86,3.39 (2.59-4.20)
T cells 18,727,0.271,100.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.118,31.0,166,30,18.07,2.13 (1.72-2.54),136,81.93,3.69 (3.42-3.95)
oligodendrocyte progenitor cells 7,4285,0.164,90.0,353,39,11.05,2.04 (1.63-2.46),314,88.95,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,599,0.134,13.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,229,0.273,90.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,102,0.202,36.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,86,0.098,12.0,4,1,25.0,4.07 (NA-NA),3,75.0,2.73 (0.59-4.87)
endothelial cells 9,1653,0.118,43.0,297,8,2.69,3.39 (2.73-4.06),289,97.31,3.68 (3.47-3.89)
oligodendrocytes 20,221,0.189,48.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.107,11.0,455,17,3.74,1.46 (0.96-1.96),438,96.26,4.50 (4.32-4.68)
astrocytes 8,771,0.047,11.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.089,40.0,32,6,18.75,0.42 (0.32-0.52),26,81.25,3.86 (3.08-4.64)
oligodendrocytes 10,2107,0.128,42.0,358,45,12.57,2.00 (1.63-2.37),313,87.43,4.20 (4.01-4.39)
connective tissue cells 21,145,0.298,55.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338,0.175,68.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,61,0.203,49.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.078,20.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,37,0.296,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.149,46.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.141,43.0,300,14,4.67,3.85 (3.26-4.44),286,95.33,3.79 (3.58-4.00)
microglia 1,958,0.096,26.0,290,12,4.14,2.50 (1.55-3.44),278,95.86,3.88 (3.65-4.11)
oligodendrocytes 3,743,0.127,88.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.132,40.0,200,7,3.5,2.90 (2.75-3.04),193,96.5,3.64 (3.36-3.91)
