tipo_celular,module_size,PPME1_MM,PPME1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.221,81.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.13,74.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,666.0,0.168,51.0,127,2,1.57,3.22 (NA-NA),125,98.43,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,599.0,0.2,43.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.115,43.0,101,3,2.97,2.82 (2.53-3.11),98,97.03,3.06 (2.70-3.42)
da like neurons 11,853.0,0.096,24.0,133,14,10.53,1.41 (0.82-2.00),119,89.47,3.51 (3.20-3.83)
GABA neurons expressing GABA receptors 13,86.0,0.167,52.0,4,1,25.0,4.07 (NA-NA),3,75.0,2.73 (0.59-4.87)
endothelial cells 9,1653.0,0.078,13.0,297,7,2.36,3.32 (2.95-3.68),290,97.64,3.68 (3.48-3.89)
oligodendrocytes 20,322.0,0.03,4.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.172,32.0,455,16,3.52,1.38 (0.86-1.89),439,96.48,4.49 (4.32-4.67)
astrocytes 8,577.0,0.102,62.0,83,3,3.61,2.89 (2.52-3.25),80,96.39,3.27 (2.80-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,19,6.88,2.11 (1.64-2.58),257,93.12,3.66 (3.43-3.88)
oligodendrocytes 10,806.0,0.061,11.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,118.0,0.256,26.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768.0,0.073,36.0,105,14,13.33,1.73 (1.24-2.22),91,86.67,3.46 (3.11-3.82)
oligodendrocytes 16,122.0,0.219,62.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,409.0,0.115,45.0,235,5,2.13,1.73 (1.05-2.41),230,97.87,4.04 (3.79-4.29)
astrocytes microglia 23,42.0,0.354,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.159,34.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.107,35.0,238,5,2.1,2.42 (1.31-3.52),233,97.9,3.67 (3.44-3.89)
microglia 1,813.0,0.106,36.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.06,16.0,15,5,33.33,1.36 (0.13-2.59),10,66.67,4.54 (2.94-6.13)
oligodendrocytes 2,1630.0,0.117,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
