tipo_celular,module_size,VPS4B_MM,VPS4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.212,50.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282,0.155,46.0,241,15,6.22,4.77 (3.58-5.95),226,93.78,4.01 (3.75-4.27)
astrocytes 5,1656,0.116,50.0,136,6,4.41,3.39 (2.66-4.11),130,95.59,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,4285,0.127,36.0,353,68,19.26,2.81 (2.43-3.19),285,80.74,4.24 (4.04-4.43)
GABA neurons expressing GLU receptors 22,567,0.12,16.0,16,5,31.25,2.88 (1.99-3.78),11,68.75,1.47 (0.71-2.22)
GLU like neurons 17,1316,0.157,76.0,101,9,8.91,3.68 (2.75-4.60),92,91.09,2.97 (2.60-3.35)
da like neurons 11,209,0.154,41.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,86,0.1,15.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,1653,0.059,3.0,297,20,6.73,3.77 (3.45-4.08),277,93.27,3.67 (3.45-3.89)
oligodendrocytes 20,403,0.141,58.0,18,13,72.22,1.55 (0.79-2.32),5,27.78,2.72 (1.49-3.95)
GABA like neurons 14,2402,0.114,13.0,455,70,15.38,3.13 (2.73-3.54),385,84.62,4.62 (4.43-4.82)
astrocytes 8,520,0.058,17.0,288,69,23.96,3.71 (3.35-4.08),219,76.04,4.34 (4.11-4.57)
oligodendrocyte progenitor cells 12,708,0.091,41.0,32,14,43.75,1.84 (1.17-2.51),18,56.25,4.65 (3.61-5.70)
oligodendrocytes 10,735,0.117,62.0,277,6,2.17,5.59 (4.71-6.46),271,97.83,3.87 (3.62-4.11)
connective tissue cells 21,102,0.333,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377,0.223,88.0,14,9,64.29,2.44 (0.87-4.00),5,35.71,1.43 (-0.74-3.61)
oligodendrocytes 16,64,0.171,31.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,518,0.129,68.0,122,39,31.97,2.52 (2.11-2.93),83,68.03,4.87 (4.43-5.32)
astrocytes microglia 23,37,0.286,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.167,88.0,104,23,22.12,2.30 (1.73-2.88),81,77.88,3.04 (2.72-3.35)
oligodendrocytes 0,2078,0.105,30.0,238,18,7.56,3.99 (3.09-4.88),220,92.44,3.60 (3.38-3.83)
microglia 1,1615,0.106,45.0,161,35,21.74,2.58 (1.91-3.25),126,78.26,3.51 (3.25-3.78)
oligodendrocytes 3,681,0.062,17.0,87,19,21.84,1.72 (1.26-2.17),68,78.16,2.85 (2.55-3.15)
oligodendrocytes 2,528,0.135,13.0,175,38,21.71,4.06 (3.47-4.64),137,78.29,4.49 (4.06-4.91)
