tipo_celular,module_size,ZFAND5_MM,ZFAND5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.206,58.0,102,1,0.98,1.95 (NA-NA),101,99.02,3.52 (3.15-3.88)
T cells 18,282,0.177,52.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,423,0.256,89.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666,0.177,58.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,599,0.215,52.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685,0.176,69.0,135,1,0.74,0.55 (NA-NA),134,99.26,3.21 (2.91-3.52)
da like neurons 11,1220,0.247,70.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,238,0.111,15.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,385,0.147,79.0,275,2,0.73,1.25 (-0.12-2.62),273,99.27,3.98 (3.72-4.24)
oligodendrocytes 20,275,0.126,20.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.189,91.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,708,0.157,66.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,806,0.194,62.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,101,0.273,32.0,116,1,0.86,1.95 (NA-NA),115,99.14,4.64 (4.23-5.06)
astrocytes 15,1768,0.099,62.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,121,0.144,10.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,307,0.138,66.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,327,0.395,76.0,120,1,0.83,1.95 (NA-NA),119,99.17,3.63 (3.33-3.94)
astrocytes 4,514,0.373,94.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,613,0.163,69.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,346,0.153,54.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,457,0.076,25.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48)
oligodendrocytes 2,528,0.24,69.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
