tipo_celular,module_size,DIP2B_MM,DIP2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.142,43.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,349,0.308,79.0,68,25,36.76,5.04 (3.95-6.12),43,63.24,3.92 (3.39-4.45)
astrocytes 5,165,0.217,63.0,51,2,3.92,7.13 (4.87-9.39),49,96.08,5.25 (4.57-5.93)
oligodendrocyte progenitor cells 7,229,0.185,47.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.138,24.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70)
GLU like neurons 17,637,0.128,36.0,91,20,21.98,2.15 (1.37-2.94),71,78.02,5.41 (4.96-5.87)
da like neurons 11,408,0.297,73.0,25,10,40.0,2.90 (1.12-4.67),15,60.0,6.33 (5.06-7.60)
GABA neurons expressing GABA receptors 13,288,0.306,85.0,93,45,48.39,5.14 (4.39-5.89),48,51.61,5.15 (4.51-5.80)
endothelial cells 9,450,0.428,82.0,74,28,37.84,6.17 (5.35-6.99),46,62.16,4.98 (4.28-5.68)
oligodendrocytes 20,676,0.115,36.0,110,38,34.55,4.87 (4.05-5.69),72,65.45,5.08 (4.57-5.59)
GABA like neurons 14,1300,0.23,60.0,306,67,21.9,4.75 (4.08-5.42),239,78.1,5.20 (4.93-5.48)
astrocytes 8,771,0.444,90.0,48,9,18.75,6.72 (4.95-8.49),39,81.25,3.84 (3.14-4.54)
oligodendrocyte progenitor cells 12,153,0.255,15.0,27,4,14.81,2.18 (-0.23-4.59),23,85.19,5.23 (4.36-6.10)
oligodendrocytes 10,204,0.282,17.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250,0.304,49.0,117,27,23.08,4.67 (3.77-5.57),90,76.92,5.65 (5.24-6.06)
astrocytes 15,458,0.123,65.0,36,8,22.22,8.14 (7.87-8.41),28,77.78,2.61 (1.87-3.36)
oligodendrocytes 16,287,0.154,13.0,105,51,48.57,4.79 (4.04-5.54),54,51.43,5.40 (4.96-5.83)
da neurons 6,398,0.319,89.0,138,29,21.01,3.33 (2.55-4.12),109,78.99,5.25 (4.87-5.63)
astrocytes microglia 23,229,0.251,34.0,99,10,10.1,3.35 (2.90-3.79),89,89.9,4.42 (4.06-4.78)
astrocytes 4,102,0.158,28.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,1186,0.116,13.0,300,2,0.67,2.98 (2.12-3.83),298,99.33,3.80 (3.59-4.01)
microglia 1,315,0.193,62.0,144,19,13.19,4.26 (3.59-4.93),125,86.81,4.50 (4.15-4.84)
oligodendrocytes 3,681,0.144,84.0,87,17,19.54,1.85 (1.30-2.39),70,80.46,2.78 (2.49-3.08)
oligodendrocytes 2,348,0.186,44.0,114,50,43.86,5.48 (4.86-6.10),64,56.14,4.82 (4.28-5.36)
