tipo_celular,module_size,CNTNAP2_MM,CNTNAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.396,88.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44)
T cells 18,349,0.314,80.0,68,32,47.06,4.80 (3.92-5.67),36,52.94,3.87 (3.27-4.47)
astrocytes 5,165,0.366,83.0,51,4,7.84,5.72 (4.51-6.93),47,92.16,5.33 (4.63-6.03)
oligodendrocyte progenitor cells 7,229,0.124,21.0,45,3,6.67,5.19 (NA-NA),42,93.33,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,714,0.336,96.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795,0.398,98.0,80,13,16.25,5.13 (4.08-6.17),67,83.75,5.82 (5.37-6.26)
da like neurons 11,191,0.546,96.0,93,37,39.78,5.39 (4.75-6.02),56,60.22,5.87 (5.36-6.38)
GABA neurons expressing GABA receptors 13,288,0.142,36.0,93,42,45.16,4.97 (4.24-5.70),51,54.84,5.34 (4.67-6.00)
endothelial cells 9,450,0.533,89.0,74,25,33.78,5.78 (4.93-6.62),49,66.22,5.25 (4.52-5.98)
oligodendrocytes 20,298,0.147,51.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.237,64.0,306,71,23.2,4.46 (3.88-5.05),235,76.8,5.33 (5.05-5.61)
astrocytes 8,771,0.632,97.0,48,9,18.75,6.70 (4.94-8.47),39,81.25,3.84 (3.14-4.55)
oligodendrocyte progenitor cells 12,153,0.273,16.0,27,7,25.93,3.11 (1.86-4.36),20,74.07,5.79 (4.95-6.63)
oligodendrocytes 10,204,0.432,47.0,92,9,9.78,5.32 (3.77-6.87),83,90.22,5.76 (5.26-6.25)
connective tissue cells 21,250,0.549,82.0,117,36,30.77,4.83 (4.05-5.60),81,69.23,5.68 (5.26-6.11)
astrocytes 15,458,0.386,95.0,36,8,22.22,6.94 (5.40-8.49),28,77.78,2.46 (1.67-3.25)
oligodendrocytes 16,149,0.301,76.0,70,5,7.14,5.67 (4.17-7.17),65,92.86,5.65 (5.15-6.15)
da neurons 6,398,0.178,60.0,138,31,22.46,3.83 (3.02-4.63),107,77.54,5.12 (4.73-5.52)
astrocytes microglia 23,54,0.35,53.0,29,6,20.69,5.59 (4.37-6.81),23,79.31,7.15 (6.48-7.81)
astrocytes 4,102,0.285,75.0,42,3,7.14,5.70 (4.70-6.69),39,92.86,5.68 (4.91-6.45)
oligodendrocytes 0,117,0.218,88.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16)
microglia 1,127,0.402,85.0,24,10,41.67,5.41 (4.03-6.78),14,58.33,4.99 (4.24-5.74)
oligodendrocytes 3,681,0.142,83.0,87,7,8.05,1.64 (0.07-3.22),80,91.95,2.66 (2.40-2.92)
oligodendrocytes 2,921,0.252,100.0,200,6,3.0,3.28 (2.25-4.31),194,97.0,3.63 (3.36-3.91)
