tipo_celular,module_size,GMPS_MM,GMPS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.148,44.0,71,3,4.23,1.26 (0.15-2.37),68,95.77,2.69 (2.27-3.12)
T cells 18,624,0.124,27.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.14,86.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,10,2.83,1.41 (0.76-2.06),343,97.17,3.98 (3.80-4.17)
GABA neurons expressing GLU receptors 22,823,0.131,21.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.093,22.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,289,0.134,29.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,90,0.112,12.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,385,0.087,32.0,275,8,2.91,1.42 (0.72-2.12),267,97.09,4.06 (3.80-4.32)
oligodendrocytes 20,228,0.026,5.0,5,2,40.0,1.89 (-1.31-5.09),3,60.0,4.16 (1.32-7.01)
GABA like neurons 14,3052,0.184,85.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354,0.125,51.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,9,3.26,2.21 (1.46-2.96),267,96.74,3.60 (3.38-3.82)
oligodendrocytes 10,2107,0.133,45.0,358,10,2.79,1.41 (0.76-2.06),348,97.21,3.96 (3.77-4.15)
connective tissue cells 21,95,0.308,64.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,338,0.173,66.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,113,0.129,16.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,448,0.098,46.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,127,0.235,16.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.171,83.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.129,80.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89)
microglia 1,813,0.135,69.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,94,0.076,40.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.128,24.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
