tipo_celular,module_size,PLCG2_MM,PLCG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.313,71.0,140,41,29.29,4.21 (3.78-4.64),99,70.71,4.71 (4.35-5.07)
T cells 18,506,0.31,77.0,225,41,18.22,3.02 (2.67-3.37),184,81.78,3.77 (3.47-4.07)
astrocytes 5,328,0.184,59.0,128,2,1.56,3.77 (NA-NA),126,98.44,3.57 (3.22-3.91)
oligodendrocyte progenitor cells 7,448,0.466,99.0,108,2,1.85,3.55 (NA-NA),106,98.15,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,487,0.333,83.0,73,4,5.48,1.85 (0.96-2.75),69,94.52,2.82 (2.41-3.22)
GLU like neurons 17,1316,0.214,95.0,101,4,3.96,2.83 (2.62-3.03),97,96.04,3.06 (2.70-3.43)
da like neurons 11,168,0.39,94.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288,0.238,73.0,93,17,18.28,2.96 (2.30-3.62),76,81.72,5.78 (5.28-6.28)
endothelial cells 9,916,0.201,48.0,302,7,2.32,2.64 (1.48-3.79),295,97.68,4.03 (3.80-4.25)
oligodendrocytes 20,676,0.216,45.0,110,25,22.73,3.54 (2.83-4.25),85,77.27,5.49 (5.00-5.98)
GABA like neurons 14,2402,0.564,93.0,455,34,7.47,2.39 (1.84-2.95),421,92.53,4.53 (4.35-4.71)
astrocytes 8,771,0.178,62.0,48,2,4.17,3.56 (-1.88-9.00),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,1049,0.613,100.0,235,11,4.68,3.38 (2.64-4.13),224,95.32,3.84 (3.60-4.08)
oligodendrocytes 10,1277,0.238,97.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,301,0.341,43.0,158,14,8.86,4.43 (3.28-5.59),144,91.14,4.22 (3.84-4.61)
astrocytes 15,268,0.137,66.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,287,0.162,16.0,105,36,34.29,3.81 (3.05-4.58),69,65.71,5.87 (5.47-6.27)
da neurons 6,398,0.379,92.0,138,36,26.09,3.30 (2.81-3.78),102,73.91,5.48 (5.07-5.89)
astrocytes microglia 23,253,0.275,64.0,47,5,10.64,1.97 (1.44-2.50),42,89.36,2.97 (2.62-3.32)
astrocytes 4,208,0.13,14.0,173,17,9.83,3.88 (3.48-4.28),156,90.17,3.78 (3.45-4.12)
oligodendrocytes 0,546,0.34,94.0,252,33,13.1,2.36 (1.79-2.93),219,86.9,4.39 (4.14-4.64)
microglia 1,406,0.292,67.0,278,21,7.55,5.47 (4.76-6.18),257,92.45,4.22 (3.94-4.51)
oligodendrocytes 3,127,0.299,65.0,45,9,20.0,2.68 (1.93-3.43),36,80.0,5.18 (4.15-6.21)
oligodendrocytes 2,526,0.409,84.0,213,3,1.41,3.83 (3.69-3.97),210,98.59,3.98 (3.70-4.26)
