tipo_celular,module_size,GNB1_MM,GNB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.122,27.0,97,3,3.09,3.52 (1.89-5.14),94,96.91,3.04 (2.63-3.44)
T cells 18,610,0.11,19.0,98,14,14.29,1.45 (0.69-2.20),84,85.71,3.41 (3.10-3.71)
astrocytes 5,228,0.099,8.0,266,37,13.91,2.82 (2.24-3.40),229,86.09,4.32 (4.11-4.53)
oligodendrocyte progenitor cells 7,4285,0.12,26.0,353,19,5.38,1.56 (0.94-2.17),334,94.62,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,487,0.223,53.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,300,0.204,66.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,853,0.157,66.0,133,8,6.02,1.64 (0.46-2.82),125,93.98,3.38 (3.06-3.69)
GABA neurons expressing GABA receptors 13,238,0.312,95.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.092,13.0,141,5,3.55,2.74 (0.53-4.94),136,96.45,2.97 (2.73-3.21)
oligodendrocytes 20,253,0.086,21.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,1300,0.186,40.0,306,29,9.48,3.28 (2.57-3.99),277,90.52,5.35 (5.09-5.62)
astrocytes 8,520,0.081,31.0,288,29,10.07,3.11 (2.50-3.72),259,89.93,4.27 (4.06-4.47)
oligodendrocyte progenitor cells 12,708,0.236,79.0,32,9,28.12,1.28 (0.39-2.17),23,71.88,4.03 (3.17-4.90)
oligodendrocytes 10,806,0.114,32.0,261,23,8.81,3.44 (2.88-3.99),238,91.19,4.43 (4.18-4.68)
connective tissue cells 21,125,0.254,28.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,261,0.165,59.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,74,0.136,21.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553,0.224,89.0,124,4,3.23,0.40 (NA-NA),120,96.77,4.23 (3.84-4.61)
astrocytes microglia 23,253,0.311,83.0,47,2,4.26,3.78 (3.78-3.78),45,95.74,2.80 (2.46-3.14)
astrocytes 4,721,0.114,5.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309,0.108,22.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,480,0.127,15.0,163,10,6.13,3.80 (2.66-4.94),153,93.87,3.70 (3.43-3.98)
oligodendrocytes 3,242,0.124,45.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.143,20.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
