tipo_celular,module_size,ASTN2_MM,ASTN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.275,94.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22)
T cells 18,282,0.163,38.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,117,0.193,70.0,28,3,10.71,5.19 (4.84-5.54),25,89.29,5.32 (4.66-5.99)
oligodendrocyte progenitor cells 7,436,0.109,37.0,219,12,5.48,4.56 (3.42-5.69),207,94.52,5.27 (4.97-5.57)
GABA neurons expressing GLU receptors 22,823,0.318,98.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489,0.047,2.0,42,3,7.14,5.19 (4.84-5.54),39,92.86,6.08 (5.47-6.69)
da like neurons 11,145,0.382,87.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.383,92.0,93,13,13.98,4.46 (3.66-5.26),80,86.02,5.30 (4.73-5.88)
endothelial cells 9,450,0.415,80.0,74,5,6.76,5.45 (3.89-7.01),69,93.24,5.47 (4.87-6.06)
oligodendrocytes 20,221,0.251,69.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.137,19.0,306,17,5.56,4.34 (3.40-5.28),289,94.44,5.16 (4.89-5.43)
astrocytes 8,1266,0.203,95.0,66,10,15.15,2.23 (0.81-3.64),56,84.85,3.44 (3.05-3.83)
oligodendrocyte progenitor cells 12,411,0.3,72.0,103,6,5.83,4.94 (2.81-7.07),97,94.17,5.60 (5.21-5.98)
oligodendrocytes 10,130,0.281,27.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,250,0.287,41.0,117,15,12.82,4.35 (3.61-5.09),102,87.18,5.59 (5.15-6.03)
astrocytes 15,418,0.102,49.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,149,0.125,13.0,70,1,1.43,8.28 (NA-NA),69,98.57,5.60 (5.12-6.07)
da neurons 6,228,0.139,78.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,141,0.318,79.0,30,4,13.33,4.99 (4.51-5.46),26,86.67,5.81 (4.74-6.89)
astrocytes 4,161,0.169,47.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479,0.297,97.0,40,4,10.0,4.41 (3.90-4.93),36,90.0,6.07 (5.53-6.61)
microglia 1,127,0.216,60.0,24,3,12.5,5.04 (4.40-5.69),21,87.5,5.19 (4.35-6.03)
oligodendrocytes 3,1003,0.321,100.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.293,80.0,114,14,12.28,4.31 (3.52-5.10),100,87.72,5.28 (4.82-5.74)
