tipo_celular,module_size,RBBP4_MM,RBBP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.212,88.0,71,10,14.08,2.24 (1.40-3.07),61,85.92,2.70 (2.23-3.16)
T cells 18,727,0.087,9.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,932,0.089,19.0,80,3,3.75,3.90 (2.97-4.82),77,96.25,3.66 (3.23-4.09)
oligodendrocyte progenitor cells 7,4285,0.118,25.0,353,84,23.8,2.41 (2.13-2.69),269,76.2,4.47 (4.29-4.65)
GABA neurons expressing GLU receptors 22,1069,0.235,89.0,37,6,16.22,2.69 (1.65-3.72),31,83.78,2.03 (1.53-2.53)
GLU like neurons 17,1247,0.056,4.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.084,13.0,133,58,43.61,2.38 (2.04-2.72),75,56.39,4.08 (3.66-4.51)
GABA neurons expressing GABA receptors 13,93,0.15,47.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,385,0.07,14.0,275,71,25.82,2.36 (2.08-2.64),204,74.18,4.86 (4.59-5.12)
oligodendrocytes 20,348,0.042,16.0,33,5,15.15,3.86 (2.48-5.24),28,84.85,2.61 (2.11-3.11)
GABA like neurons 14,3052,0.094,14.0,125,4,3.2,4.03 (2.87-5.19),121,96.8,3.33 (3.00-3.66)
astrocytes 8,603,0.038,10.0,89,9,10.11,1.48 (0.94-2.01),80,89.89,2.97 (2.59-3.34)
oligodendrocyte progenitor cells 12,3303,0.04,7.0,276,61,22.1,2.26 (2.00-2.52),215,77.9,4.02 (3.78-4.26)
oligodendrocytes 10,2107,0.059,8.0,358,97,27.09,2.42 (2.17-2.68),261,72.91,4.60 (4.42-4.78)
connective tissue cells 21,85,0.288,41.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,268,0.046,18.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29)
oligodendrocytes 16,64,0.179,42.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,448,0.081,24.0,43,6,13.95,3.78 (3.48-4.08),37,86.05,3.18 (2.56-3.80)
astrocytes microglia 23,57,0.29,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.171,84.0,61,7,11.48,2.90 (1.67-4.12),54,88.52,2.97 (2.53-3.41)
oligodendrocytes 0,2078,0.104,29.0,238,22,9.24,3.00 (2.49-3.51),216,90.76,3.71 (3.47-3.95)
microglia 1,813,0.083,10.0,79,1,1.27,5.16 (NA-NA),78,98.73,3.07 (2.67-3.48)
oligodendrocytes 3,94,0.065,28.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,921,0.14,55.0,200,12,6.0,3.65 (2.80-4.49),188,94.0,3.62 (3.34-3.90)
