tipo_celular,module_size,MPHOSPH8_MM,MPHOSPH8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.127,32.0,35,3,8.57,5.98 (NA-NA),32,91.43,3.66 (2.70-4.63)
T cells 18,610,0.086,7.0,98,30,30.61,1.82 (1.38-2.27),68,69.39,3.79 (3.49-4.09)
astrocytes 5,1141,0.11,23.0,166,40,24.1,2.48 (2.06-2.90),126,75.9,3.74 (3.46-4.02)
oligodendrocyte progenitor cells 7,4285,0.077,2.0,353,56,15.86,2.19 (1.85-2.53),297,84.14,4.31 (4.13-4.49)
GABA neurons expressing GLU receptors 22,192,0.122,42.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1247,0.3,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.116,38.0,133,51,38.35,2.37 (2.00-2.75),82,61.65,3.88 (3.48-4.28)
GABA neurons expressing GABA receptors 13,200,0.145,45.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,916,0.059,2.0,302,4,1.32,2.33 (-0.21-4.86),298,98.68,4.01 (3.79-4.24)
oligodendrocytes 20,298,0.153,54.0,6,3,50.0,NA,3,50.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.099,9.0,306,14,4.58,2.04 (1.43-2.64),292,95.42,5.32 (5.06-5.57)
astrocytes 8,218,0.254,90.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.038,6.0,276,41,14.86,2.03 (1.71-2.35),235,85.14,3.86 (3.64-4.09)
oligodendrocytes 10,735,0.053,14.0,277,3,1.08,6.03 (5.93-6.13),274,98.92,3.87 (3.63-4.11)
connective tissue cells 21,102,0.217,19.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,458,0.106,56.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,158,0.154,19.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,553,0.114,39.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,132,0.197,0.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,752,0.14,30.0,96,12,12.5,2.87 (2.24-3.49),84,87.5,3.37 (3.00-3.74)
oligodendrocytes 0,613,0.126,33.0,127,20,15.75,2.77 (2.13-3.42),107,84.25,3.14 (2.63-3.64)
microglia 1,1615,0.093,26.0,161,48,29.81,2.08 (1.71-2.44),113,70.19,3.91 (3.63-4.20)
oligodendrocytes 3,357,0.227,92.0,127,7,5.51,4.70 (4.38-5.02),120,94.49,3.06 (2.72-3.39)
oligodendrocytes 2,407,0.096,4.0,122,50,40.98,2.15 (1.83-2.47),72,59.02,4.61 (4.10-5.13)
