tipo_celular,module_size,EEF1D_MM,EEF1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.222,46.0,98,16,16.33,2.18 (1.55-2.82),82,83.67,3.48 (2.93-4.03)
T cells 18,506,0.29,75.0,225,23,10.22,2.30 (1.87-2.72),202,89.78,3.81 (3.54-4.07)
astrocytes 5,932,0.077,7.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.099,9.0,353,58,16.43,2.07 (1.77-2.36),295,83.57,4.37 (4.20-4.55)
GABA neurons expressing GLU receptors 22,567,0.185,47.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685,0.094,25.0,135,34,25.19,1.98 (1.69-2.27),101,74.81,3.68 (3.32-4.05)
da like neurons 11,408,0.066,5.0,25,7,28.0,1.58 (0.73-2.43),18,72.0,6.25 (4.99-7.50)
GABA neurons expressing GABA receptors 13,90,0.057,0.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,916,0.422,87.0,302,5,1.66,2.35 (0.82-3.88),297,98.34,4.01 (3.78-4.24)
oligodendrocytes 20,295,0.129,24.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,2090,0.175,64.0,74,14,18.92,2.23 (2.00-2.47),60,81.08,3.14 (2.68-3.60)
astrocytes 8,603,0.135,78.0,89,11,12.36,1.73 (1.18-2.28),78,87.64,2.97 (2.58-3.36)
oligodendrocyte progenitor cells 12,1049,0.18,81.0,235,8,3.4,3.21 (2.73-3.68),227,96.6,3.85 (3.61-4.09)
oligodendrocytes 10,483,0.284,81.0,129,7,5.43,2.92 (2.55-3.29),122,94.57,3.46 (3.05-3.88)
connective tissue cells 21,301,0.298,29.0,158,9,5.7,1.85 (1.12-2.58),149,94.3,4.45 (4.08-4.82)
astrocytes 15,1401,0.093,57.0,96,7,7.29,1.77 (1.58-1.95),89,92.71,3.74 (3.27-4.20)
oligodendrocytes 16,82,0.191,38.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.11,28.0,138,15,10.87,2.32 (1.45-3.20),123,89.13,5.16 (4.81-5.52)
astrocytes microglia 23,43,0.362,55.0,3,1,33.33,NA,2,66.67,1.82 (NA-NA)
astrocytes 4,721,0.163,72.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,546,0.144,34.0,252,30,11.9,1.86 (1.43-2.28),222,88.1,4.49 (4.26-4.73)
microglia 1,406,0.3,68.0,278,3,1.08,3.16 (2.06-4.27),275,98.92,4.37 (4.10-4.65)
oligodendrocytes 3,303,0.094,28.0,154,2,1.3,3.24 (2.29-4.19),152,98.7,3.63 (3.30-3.95)
oligodendrocytes 2,526,0.158,17.0,213,1,0.47,3.73 (NA-NA),212,99.53,3.98 (3.70-4.26)
