tipo_celular,module_size,FBXW7_MM,FBXW7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.123,26.0,71,11,15.49,3.16 (1.99-4.33),60,84.51,2.50 (2.07-2.93)
T cells 18,506,0.071,4.0,225,30,13.33,3.22 (2.66-3.78),195,86.67,3.69 (3.42-3.97)
astrocytes 5,1141,0.134,55.0,166,60,36.14,3.23 (2.84-3.63),106,63.86,3.51 (3.18-3.84)
oligodendrocyte progenitor cells 7,666,0.174,57.0,127,37,29.13,3.80 (3.24-4.36),90,70.87,3.85 (3.43-4.28)
GABA neurons expressing GLU receptors 22,599,0.17,29.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.154,74.0,101,12,11.88,4.72 (3.64-5.81),89,88.12,2.89 (2.54-3.24)
da like neurons 11,87,0.367,69.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,266,0.152,48.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11)
endothelial cells 9,1653,0.183,84.0,297,19,6.4,4.09 (3.62-4.56),278,93.6,3.64 (3.42-3.86)
oligodendrocytes 20,348,0.026,4.0,33,5,15.15,3.40 (2.80-4.01),28,84.85,2.60 (2.04-3.16)
GABA like neurons 14,1300,0.135,18.0,306,42,13.73,2.95 (2.58-3.32),264,86.27,5.61 (5.35-5.87)
astrocytes 8,727,0.183,85.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303,0.145,98.0,276,73,26.45,2.95 (2.63-3.28),203,73.55,3.82 (3.55-4.09)
oligodendrocytes 10,2107,0.375,96.0,358,101,28.21,2.91 (2.61-3.21),257,71.79,4.41 (4.20-4.62)
connective tissue cells 21,102,0.26,36.0,5,5,100.0,1.38 (1.02-1.75),0,0.0,NA
astrocytes 15,1768,0.181,98.0,105,45,42.86,2.96 (2.51-3.41),60,57.14,3.43 (2.95-3.91)
oligodendrocytes 16,199,0.178,60.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,448,0.117,67.0,43,6,13.95,3.69 (3.48-3.89),37,86.05,3.20 (2.57-3.82)
astrocytes microglia 23,253,0.253,48.0,47,9,19.15,2.95 (2.22-3.68),38,80.85,2.82 (2.44-3.19)
astrocytes 4,752,0.165,67.0,96,22,22.92,3.61 (2.96-4.26),74,77.08,3.18 (2.80-3.56)
oligodendrocytes 0,1186,0.141,43.0,300,24,8.0,3.95 (3.48-4.42),276,92.0,3.78 (3.55-4.00)
microglia 1,958,0.138,83.0,290,55,18.97,3.64 (3.14-4.13),235,81.03,3.86 (3.60-4.12)
oligodendrocytes 3,681,0.093,49.0,87,48,55.17,2.47 (2.13-2.81),39,44.83,2.75 (2.30-3.19)
oligodendrocytes 2,921,0.109,10.0,200,13,6.5,3.66 (2.78-4.55),187,93.5,3.62 (3.34-3.90)
