tipo_celular,module_size,PPP6R3_MM,PPP6R3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.092,9.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,388,0.188,67.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.149,75.0,166,9,5.42,2.15 (1.38-2.91),157,94.58,3.48 (3.22-3.74)
oligodendrocyte progenitor cells 7,448,0.15,57.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400,0.211,57.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11)
GLU like neurons 17,637,0.096,20.0,91,9,9.89,1.34 (0.47-2.22),82,90.11,5.03 (4.56-5.51)
da like neurons 11,853,0.14,57.0,133,10,7.52,1.71 (0.92-2.50),123,92.48,3.40 (3.08-3.73)
GABA neurons expressing GABA receptors 13,288,0.103,11.0,93,4,4.3,2.83 (2.34-3.31),89,95.7,5.29 (4.78-5.79)
endothelial cells 9,1653,0.244,98.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322,0.161,66.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.233,62.0,306,7,2.29,2.58 (1.98-3.18),299,97.71,5.18 (4.92-5.44)
astrocytes 8,577,0.074,41.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,153,0.382,39.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,130,0.362,41.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136,0.219,16.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401,0.082,46.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,153,0.13,5.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.132,42.0,138,7,5.07,2.24 (1.12-3.36),131,94.93,4.99 (4.62-5.35)
astrocytes microglia 23,327,0.119,0.0,120,7,5.83,1.70 (0.69-2.72),113,94.17,3.76 (3.46-4.06)
astrocytes 4,752,0.147,40.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.173,89.0,300,2,0.67,3.81 (3.31-4.31),298,99.33,3.79 (3.59-4.00)
microglia 1,480,0.129,17.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681,0.144,84.0,87,11,12.64,1.98 (1.30-2.66),76,87.36,2.68 (2.39-2.97)
oligodendrocytes 2,804,0.156,55.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
