tipo_celular,module_size,DNAJC7_MM,DNAJC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.184,27.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,349,0.053,2.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,423,0.128,34.0,80,5,6.25,4.76 (0.65-8.86),75,93.75,3.34 (2.88-3.80)
oligodendrocyte progenitor cells 7,666,0.108,10.0,127,20,15.75,2.94 (1.16-4.72),107,84.25,3.92 (3.60-4.25)
GABA neurons expressing GLU receptors 22,823,0.168,44.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1247,0.101,26.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.131,51.0,133,17,12.78,1.43 (0.93-1.93),116,87.22,3.58 (3.26-3.89)
GABA neurons expressing GABA receptors 13,73,0.215,82.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.064,4.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358,0.118,32.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,2402,0.11,11.0,455,36,7.91,2.13 (1.40-2.86),419,92.09,4.52 (4.35-4.70)
astrocytes 8,577,0.111,66.0,83,7,8.43,4.90 (1.91-7.90),76,91.57,3.15 (2.71-3.58)
oligodendrocyte progenitor cells 12,3303,0.129,94.0,276,18,6.52,1.71 (1.31-2.11),258,93.48,3.71 (3.49-3.93)
oligodendrocytes 10,735,0.073,32.0,277,5,1.81,4.95 (NA-NA),272,98.19,3.89 (3.65-4.13)
connective tissue cells 21,100,0.173,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.07,35.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,156,0.196,48.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,409,0.095,29.0,235,12,5.11,2.73 (1.67-3.78),223,94.89,4.04 (3.78-4.29)
astrocytes microglia 23,67,0.348,73.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.16,35.0,95,11,11.58,2.98 (0.55-5.41),84,88.42,3.40 (2.99-3.82)
oligodendrocytes 0,86,0.141,36.0,2,0,0.0,NA,2,100.0,NA
microglia 1,958,0.135,81.0,290,16,5.52,2.68 (1.18-4.19),274,94.48,3.86 (3.63-4.09)
oligodendrocytes 3,743,0.042,3.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.123,26.0,200,3,1.5,2.03 (1.19-2.87),197,98.5,3.65 (3.38-3.92)
