tipo_celular,module_size,YME1L1_MM,YME1L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.118,23.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,477,0.174,57.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.116,29.0,166,23,13.86,2.27 (1.78-2.76),143,86.14,3.60 (3.34-3.87)
oligodendrocyte progenitor cells 7,4285,0.114,21.0,353,40,11.33,1.93 (1.59-2.28),313,88.67,4.22 (4.04-4.40)
GABA neurons expressing GLU receptors 22,823,0.162,39.0,23,3,13.04,2.11 (-0.05-4.28),20,86.96,2.43 (1.64-3.22)
GLU like neurons 17,300,0.174,36.0,16,6,37.5,2.92 (2.30-3.55),10,62.5,1.45 (0.17-2.73)
da like neurons 11,82,0.227,45.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75,0.19,72.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,586,0.075,9.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,271,0.167,48.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.171,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.045,14.0,83,4,4.82,2.78 (0.46-5.10),79,95.18,3.27 (2.81-3.73)
oligodendrocyte progenitor cells 12,3303,0.099,74.0,276,29,10.51,2.26 (1.87-2.64),247,89.49,3.75 (3.52-3.98)
oligodendrocytes 10,735,0.083,39.0,277,2,0.72,4.60 (3.92-5.28),275,99.28,3.89 (3.64-4.13)
connective tissue cells 21,100,0.26,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.103,66.0,105,28,26.67,2.06 (1.68-2.44),77,73.33,3.66 (3.26-4.05)
oligodendrocytes 16,91,0.266,76.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.092,23.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,58,0.264,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.133,19.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078,0.118,58.0,238,4,1.68,2.04 (0.78-3.31),234,98.32,3.67 (3.45-3.89)
microglia 1,958,0.138,83.0,290,15,5.17,2.46 (1.93-2.99),275,94.83,3.91 (3.67-4.15)
oligodendrocytes 3,639,0.098,51.0,15,7,46.67,1.42 (0.53-2.32),8,53.33,5.52 (4.23-6.80)
oligodendrocytes 2,921,0.127,32.0,200,10,5.0,2.79 (2.18-3.40),190,95.0,3.67 (3.39-3.95)
