tipo_celular,module_size,CCNY_MM,CCNY_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.16,29.0,140,11,7.86,3.31 (2.48-4.14),129,92.14,4.68 (4.39-4.97)
T cells 18,349,0.089,12.0,68,5,7.35,1.55 (0.76-2.34),63,92.65,4.67 (4.13-5.21)
astrocytes 5,1141,0.154,79.0,166,29,17.47,2.41 (1.93-2.89),137,82.53,3.65 (3.38-3.93)
oligodendrocyte progenitor cells 7,448,0.154,60.0,108,2,1.85,6.11 (5.67-6.55),106,98.15,3.18 (2.75-3.62)
GABA neurons expressing GLU receptors 22,487,0.131,16.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,637,0.185,60.0,91,10,10.99,1.14 (0.42-1.85),81,89.01,5.13 (4.68-5.58)
da like neurons 11,82,0.374,80.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288,0.162,46.0,93,9,9.68,2.34 (1.52-3.16),84,90.32,5.55 (5.08-6.03)
endothelial cells 9,658,0.408,94.0,120,22,18.33,3.26 (2.82-3.70),98,81.67,4.96 (4.62-5.31)
oligodendrocytes 20,676,0.44,73.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,1300,0.187,41.0,306,22,7.19,2.63 (2.07-3.20),284,92.81,5.39 (5.13-5.64)
astrocytes 8,771,0.194,66.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,153,0.362,32.0,27,2,7.41,0.95 (NA-NA),25,92.59,5.08 (4.23-5.92)
oligodendrocytes 10,236,0.288,9.0,82,5,6.1,3.10 (2.63-3.58),77,93.9,5.15 (4.61-5.70)
connective tissue cells 21,111,0.224,21.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,458,0.113,61.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.383,73.0,105,12,11.43,3.16 (1.95-4.37),93,88.57,5.47 (5.06-5.89)
da neurons 6,398,0.206,69.0,138,23,16.67,2.67 (2.08-3.26),115,83.33,5.35 (4.99-5.72)
astrocytes microglia 23,229,0.22,22.0,99,2,2.02,3.52 (1.67-5.38),97,97.98,4.32 (3.98-4.66)
astrocytes 4,255,0.166,47.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,261,0.215,72.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52)
microglia 1,315,0.127,28.0,144,3,2.08,2.29 (1.63-2.95),141,97.92,4.51 (4.20-4.82)
oligodendrocytes 3,127,0.24,45.0,45,7,15.56,2.66 (1.37-3.95),38,84.44,4.93 (3.99-5.86)
oligodendrocytes 2,347,0.212,58.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
