tipo_celular,module_size,STX7_MM,STX7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.134,32.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48)
T cells 18,610,0.233,92.0,98,22,22.45,2.32 (1.69-2.95),76,77.55,3.39 (3.04-3.73)
astrocytes 5,1141,0.126,42.0,166,6,3.61,1.81 (0.57-3.05),160,96.39,3.46 (3.21-3.71)
oligodendrocyte progenitor cells 7,4285,0.151,73.0,353,39,11.05,2.55 (2.13-2.98),314,88.95,4.11 (3.92-4.30)
GABA neurons expressing GLU receptors 22,400,0.201,53.0,24,14,58.33,1.71 (1.01-2.40),10,41.67,2.79 (2.22-3.36)
GLU like neurons 17,1316,0.157,77.0,101,5,4.95,3.55 (3.06-4.04),96,95.05,3.02 (2.65-3.39)
da like neurons 11,89,0.372,72.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,80,0.136,22.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653,0.112,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348,0.151,56.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052,0.173,78.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,262,0.075,15.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.109,82.0,276,26,9.42,2.81 (2.36-3.26),250,90.58,3.65 (3.41-3.88)
oligodendrocytes 10,2107,0.169,58.0,358,36,10.06,2.28 (1.82-2.73),322,89.94,4.11 (3.92-4.30)
connective tissue cells 21,111,0.255,36.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,458,0.116,62.0,36,3,8.33,3.95 (2.83-5.06),33,91.67,3.75 (2.56-4.94)
oligodendrocytes 16,121,0.215,54.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,553,0.154,68.0,124,4,3.23,2.80 (0.45-5.14),120,96.77,4.23 (3.83-4.63)
astrocytes microglia 23,253,0.253,47.0,47,2,4.26,3.78 (3.78-3.78),45,95.74,2.80 (2.46-3.14)
astrocytes 4,787,0.148,43.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,1186,0.118,14.0,300,6,2.0,3.15 (2.27-4.03),294,98.0,3.81 (3.60-4.01)
microglia 1,315,0.155,41.0,144,2,1.39,2.15 (1.11-3.19),142,98.61,4.50 (4.19-4.80)
oligodendrocytes 3,854,0.085,43.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,347,0.121,9.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
