tipo_celular,module_size,DHX9_MM,DHX9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.15,47.0,71,16,22.54,2.44 (1.79-3.10),55,77.46,2.67 (2.17-3.18)
T cells 18,610,0.148,47.0,98,58,59.18,2.35 (2.04-2.67),40,40.82,4.28 (3.88-4.67)
astrocytes 5,1141,0.131,49.0,166,71,42.77,2.96 (2.63-3.30),95,57.23,3.77 (3.42-4.11)
oligodendrocyte progenitor cells 7,4285,0.147,69.0,353,163,46.18,3.22 (2.96-3.48),190,53.82,4.60 (4.39-4.82)
GABA neurons expressing GLU receptors 22,848,0.232,58.0,262,50,19.08,3.08 (2.63-3.53),212,80.92,4.43 (4.15-4.70)
GLU like neurons 17,300,0.171,34.0,16,10,62.5,2.94 (2.01-3.87),6,37.5,0.94 (-0.08-1.95)
da like neurons 11,142,0.283,64.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.156,48.0,237,15,6.33,3.23 (2.66-3.79),222,93.67,4.50 (4.26-4.74)
endothelial cells 9,385,0.146,78.0,275,143,52.0,3.28 (2.99-3.56),132,48.0,5.28 (4.92-5.64)
oligodendrocytes 20,938,0.058,16.0,169,22,13.02,3.06 (2.49-3.62),147,86.98,3.56 (3.32-3.79)
GABA like neurons 14,3052,0.135,46.0,125,15,12.0,4.75 (4.03-5.48),110,88.0,3.21 (2.88-3.55)
astrocytes 8,603,0.036,7.0,89,17,19.1,2.27 (1.68-2.86),72,80.9,2.92 (2.50-3.34)
oligodendrocyte progenitor cells 12,3303,0.164,100.0,276,105,38.04,2.77 (2.52-3.02),171,61.96,4.14 (3.85-4.43)
oligodendrocytes 10,2107,0.158,54.0,358,165,46.09,3.20 (2.94-3.46),193,53.91,4.65 (4.44-4.86)
connective tissue cells 21,103,0.204,10.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768,0.095,57.0,105,55,52.38,2.93 (2.51-3.35),50,47.62,3.53 (3.01-4.05)
oligodendrocytes 16,90,0.138,6.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA)
da neurons 6,300,0.173,56.0,159,6,3.77,5.91 (4.78-7.04),153,96.23,4.34 (4.03-4.65)
astrocytes microglia 23,108,0.192,2.0,2,2,100.0,NA,0,0.0,NA
astrocytes 4,721,0.157,62.0,61,11,18.03,3.46 (2.48-4.44),50,81.97,2.87 (2.42-3.33)
oligodendrocytes 0,613,0.188,83.0,127,44,34.65,3.19 (2.75-3.62),83,65.35,2.92 (2.23-3.62)
microglia 1,958,0.157,92.0,290,88,30.34,4.25 (3.86-4.65),202,69.66,3.59 (3.31-3.86)
oligodendrocytes 3,681,0.082,37.0,87,71,81.61,2.47 (2.21-2.72),16,18.39,3.08 (2.16-3.99)
oligodendrocytes 2,921,0.174,93.0,200,57,28.5,4.34 (3.93-4.76),143,71.5,3.31 (2.99-3.63)
