tipo_celular,module_size,GFPT1_MM,GFPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.196,45.0,21,3,14.29,0.39 (0.24-0.54),18,85.71,2.64 (2.03-3.24)
T cells 18,610,0.155,53.0,98,17,17.35,1.57 (1.07-2.07),81,82.65,3.49 (3.17-3.81)
astrocytes 5,1656,0.093,18.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285,0.186,99.0,353,24,6.8,1.68 (1.30-2.05),329,93.2,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,848,0.208,49.0,262,11,4.2,2.89 (1.66-4.12),251,95.8,4.21 (3.96-4.46)
GLU like neurons 17,1316,0.143,67.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,102,0.248,50.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA
GABA neurons expressing GABA receptors 13,77,0.106,11.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,385,0.141,75.0,275,23,8.36,1.51 (1.15-1.88),252,91.64,4.22 (3.97-4.48)
oligodendrocytes 20,938,0.01,0.0,169,17,10.06,3.13 (2.46-3.79),152,89.94,3.52 (3.29-3.75)
GABA like neurons 14,3052,0.147,58.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,262,0.043,6.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.07,39.0,276,22,7.97,2.01 (1.64-2.39),254,92.03,3.72 (3.49-3.95)
oligodendrocytes 10,735,0.053,14.0,277,7,2.53,3.80 (3.66-3.93),270,97.47,3.90 (3.65-4.15)
connective tissue cells 21,110,0.213,19.0,13,2,15.38,2.04 (-0.11-4.19),11,84.62,3.31 (2.42-4.20)
astrocytes 15,443,0.167,62.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,91,0.273,93.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,518,0.077,14.0,122,11,9.02,1.39 (0.53-2.26),111,90.98,4.20 (3.81-4.59)
astrocytes microglia 23,67,0.303,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.123,15.0,104,14,13.46,1.72 (1.26-2.18),90,86.54,3.06 (2.76-3.36)
oligodendrocytes 0,2078,0.105,32.0,238,7,2.94,2.18 (1.42-2.95),231,97.06,3.69 (3.47-3.91)
microglia 1,813,0.13,65.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,187,0.074,28.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,921,0.148,69.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91)
