tipo_celular,module_size,ZFHX3_MM,ZFHX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.175,58.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.114,17.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,628.0,0.144,35.0,164,2,1.22,4.61 (4.14-5.08),162,98.78,4.08 (3.74-4.41)
GABA neurons expressing GLU receptors 22,459.0,0.08,11.0,165,10,6.06,2.39 (1.58-3.21),155,93.94,5.29 (4.96-5.63)
GLU like neurons 17,489.0,0.281,88.0,42,4,9.52,5.27 (4.98-5.56),38,90.48,6.10 (5.47-6.74)
da like neurons 11,215.0,0.29,78.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,238.0,0.243,83.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,303.0,0.656,100.0,54,2,3.7,5.15 (4.98-5.32),52,96.3,4.82 (4.16-5.48)
oligodendrocytes 20,295.0,0.209,58.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44)
GABA like neurons 14,1300.0,0.174,34.0,306,21,6.86,3.08 (2.34-3.81),285,93.14,5.30 (5.03-5.56)
astrocytes 8,1266.0,0.169,92.0,66,25,37.88,2.51 (1.86-3.17),41,62.12,3.78 (3.32-4.25)
oligodendrocyte progenitor cells 12,1049.0,0.118,64.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107.0,0.223,75.0,358,76,21.23,2.20 (1.94-2.47),282,78.77,4.49 (4.31-4.67)
connective tissue cells 21,147.0,0.261,65.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04)
astrocytes 15,367.0,0.08,18.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,108.0,0.296,84.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,448.0,0.163,87.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,229.0,0.256,35.0,99,10,10.1,3.32 (2.90-3.74),89,89.9,4.42 (4.06-4.79)
astrocytes 4,752.0,0.099,2.0,96,18,18.75,2.91 (2.43-3.39),78,81.25,3.40 (3.00-3.79)
oligodendrocytes 0,309.0,0.089,7.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.209,69.0,144,14,9.72,3.25 (2.83-3.67),130,90.28,4.61 (4.28-4.94)
oligodendrocytes 3,94.0,0.112,60.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,804.0,0.102,4.0,84,5,5.95,0.69 (0.37-1.02),79,94.05,2.81 (2.48-3.15)
