tipo_celular,module_size,SERINC1_MM,SERINC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.254,75.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,282,0.441,96.0,241,4,1.66,3.57 (3.46-3.68),237,98.34,4.07 (3.81-4.32)
astrocytes 5,228,0.37,93.0,266,12,4.51,1.59 (0.89-2.28),254,95.49,4.27 (4.08-4.47)
oligodendrocyte progenitor cells 7,296,0.425,96.0,251,1,0.4,3.72 (NA-NA),250,99.6,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.548,100.0,262,14,5.34,2.63 (1.86-3.39),248,94.66,4.28 (4.03-4.53)
GLU like neurons 17,1316,0.263,100.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.48,97.0,410,12,2.93,3.07 (2.48-3.67),398,97.07,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,357,0.314,90.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,338,0.327,90.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,322,0.097,36.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.581,94.0,455,18,3.96,1.93 (1.24-2.62),437,96.04,4.48 (4.30-4.66)
astrocytes 8,520,0.471,98.0,288,9,3.12,2.55 (1.80-3.31),279,96.88,4.24 (4.04-4.44)
oligodendrocyte progenitor cells 12,3303,0.118,89.0,276,15,5.43,3.20 (2.35-4.04),261,94.57,3.57 (3.34-3.79)
oligodendrocytes 10,806,0.533,97.0,261,8,3.07,3.01 (2.27-3.75),253,96.93,4.42 (4.18-4.67)
connective tissue cells 21,301,0.24,14.0,158,2,1.27,1.39 (-0.26-3.05),156,98.73,4.31 (3.94-4.67)
astrocytes 15,377,0.02,1.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,313,0.453,91.0,291,3,1.03,1.51 (0.53-2.49),288,98.97,4.36 (4.14-4.59)
da neurons 6,300,0.46,99.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,70,0.353,60.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,157,0.305,81.0,178,9,5.06,1.28 (0.54-2.02),169,94.94,4.35 (4.10-4.60)
oligodendrocytes 0,613,0.191,85.0,127,2,1.57,3.78 (3.78-3.78),125,98.43,3.03 (2.61-3.46)
microglia 1,214,0.347,87.0,227,2,0.88,2.50 (0.13-4.88),225,99.12,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.315,93.0,345,9,2.61,3.33 (2.39-4.26),336,97.39,4.31 (4.10-4.52)
oligodendrocytes 2,528,0.41,95.0,175,7,4.0,3.35 (2.54-4.16),168,96.0,4.43 (4.07-4.80)
