tipo_celular,module_size,PBRM1_MM,PBRM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.19,65.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624,0.164,60.0,142,17,11.97,3.67 (3.39-3.96),125,88.03,3.14 (2.83-3.44)
astrocytes 5,1141,0.123,36.0,166,43,25.9,2.28 (1.97-2.58),123,74.1,3.88 (3.59-4.17)
oligodendrocyte progenitor cells 7,4285,0.095,7.0,353,78,22.1,2.57 (2.27-2.86),275,77.9,4.41 (4.23-4.60)
GABA neurons expressing GLU receptors 22,1069,0.074,3.0,37,6,16.22,2.62 (1.71-3.53),31,83.78,2.04 (1.53-2.56)
GLU like neurons 17,1316,0.097,25.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,853,0.168,72.0,133,44,33.08,1.98 (1.69-2.28),89,66.92,4.03 (3.67-4.40)
GABA neurons expressing GABA receptors 13,77,0.242,89.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.147,65.0,297,28,9.43,3.78 (3.54-4.03),269,90.57,3.66 (3.43-3.89)
oligodendrocytes 20,279,0.216,52.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090,0.061,2.0,74,18,24.32,2.81 (2.28-3.33),56,75.68,2.99 (2.51-3.48)
astrocytes 8,354,0.18,80.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.087,60.0,276,53,19.2,2.21 (1.96-2.46),223,80.8,3.98 (3.74-4.22)
oligodendrocytes 10,2107,0.215,73.0,358,90,25.14,2.49 (2.23-2.74),268,74.86,4.56 (4.37-4.75)
connective tissue cells 21,125,0.273,38.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,377,0.1,14.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99)
oligodendrocytes 16,82,0.122,7.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.087,23.0,122,14,11.48,3.12 (1.71-4.54),108,88.52,4.14 (3.76-4.53)
astrocytes microglia 23,253,0.268,56.0,47,5,10.64,1.97 (1.44-2.50),42,89.36,2.97 (2.62-3.32)
astrocytes 4,752,0.133,22.0,96,18,18.75,2.98 (2.51-3.46),78,81.25,3.38 (2.98-3.79)
oligodendrocytes 0,1186,0.14,41.0,300,37,12.33,3.95 (3.66-4.24),263,87.67,3.76 (3.53-4.00)
microglia 1,813,0.106,37.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639,0.119,67.0,15,4,26.67,0.82 (-0.10-1.74),11,73.33,4.42 (3.01-5.83)
oligodendrocytes 2,804,0.144,42.0,84,10,11.9,2.24 (1.25-3.22),74,88.1,2.77 (2.41-3.12)
