tipo_celular,module_size,HDGFL3_MM,HDGFL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.107,14.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.139,85.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,26,7.37,2.07 (1.55-2.58),327,92.63,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.211,80.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,380.0,0.122,17.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,204.0,0.292,85.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,200.0,0.186,72.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,658.0,0.141,26.0,120,4,3.33,3.45 (2.71-4.20),116,96.67,4.65 (4.33-4.98)
oligodendrocytes 20,938.0,0.078,26.0,169,5,2.96,1.86 (0.48-3.24),164,97.04,3.54 (3.32-3.76)
GABA like neurons 14,2402.0,0.138,21.0,455,21,4.62,2.04 (1.46-2.61),434,95.38,4.49 (4.31-4.67)
astrocytes 8,47.0,0.036,14.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,13,4.71,2.20 (1.63-2.77),263,95.29,3.63 (3.41-3.85)
oligodendrocytes 10,806.0,0.103,28.0,261,24,9.2,5.19 (4.46-5.93),237,90.8,4.29 (4.04-4.54)
connective tissue cells 21,114.0,0.374,91.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,1768.0,0.063,26.0,105,11,10.48,1.77 (1.29-2.26),94,89.52,3.40 (3.04-3.75)
oligodendrocytes 16,156.0,0.196,48.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553.0,0.148,65.0,124,11,8.87,5.03 (3.00-7.06),113,91.13,4.12 (3.73-4.52)
astrocytes microglia 23,108.0,0.344,66.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807.0,0.137,36.0,104,10,9.62,1.79 (1.09-2.49),94,90.38,2.99 (2.69-3.28)
oligodendrocytes 0,2078.0,0.117,56.0,238,4,1.68,2.92 (0.83-5.00),234,98.32,3.65 (3.43-3.87)
microglia 1,1615.0,0.152,90.0,161,19,11.8,1.82 (1.19-2.45),142,88.2,3.52 (3.25-3.79)
oligodendrocytes 3,854.0,0.067,22.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921.0,0.116,18.0,200,4,2.0,3.13 (2.81-3.45),196,98.0,3.63 (3.36-3.91)
