tipo_celular,module_size,ZMYM2_MM,ZMYM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.278,78.0,102,26,25.49,2.21 (1.78-2.63),76,74.51,3.95 (3.53-4.37)
T cells 18,610,0.207,84.0,98,28,28.57,1.58 (1.21-1.95),70,71.43,3.76 (3.46-4.06)
astrocytes 5,1141,0.161,85.0,166,33,19.88,2.25 (1.86-2.64),133,80.12,3.74 (3.46-4.01)
oligodendrocyte progenitor cells 7,448,0.132,45.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599,0.138,16.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,300,0.089,2.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,191,0.117,16.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,288,0.144,37.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,1653,0.209,92.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,221,0.168,38.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.191,43.0,306,8,2.61,1.59 (0.70-2.47),298,97.39,5.22 (4.96-5.47)
astrocytes 8,218,0.272,93.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,153,0.373,35.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,130,0.437,59.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111,0.243,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.097,60.0,105,16,15.24,1.53 (1.14-1.93),89,84.76,3.52 (3.17-3.87)
oligodendrocytes 16,153,0.142,7.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.149,50.0,138,12,8.7,1.83 (1.08-2.57),126,91.3,5.14 (4.79-5.49)
astrocytes microglia 23,327,0.18,7.0,120,14,11.67,1.54 (0.99-2.08),106,88.33,3.93 (3.64-4.21)
astrocytes 4,752,0.166,69.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70)
oligodendrocytes 0,1186,0.118,14.0,300,5,1.67,3.80 (3.14-4.45),295,98.33,3.79 (3.58-4.00)
microglia 1,480,0.189,49.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,44,0.153,19.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,804,0.17,69.0,84,4,4.76,0.66 (0.21-1.11),80,95.24,2.78 (2.45-3.12)
