tipo_celular,module_size,SCAPER_MM,SCAPER_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.136,34.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,727,0.178,76.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,499,0.139,36.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,436,0.096,27.0,219,5,2.28,3.35 (2.48-4.22),214,97.72,5.28 (4.99-5.57),8.87,4.51
GABA neurons expressing GLU receptors 22,459,0.175,58.0,165,4,2.42,3.27 (2.17-4.37),161,97.58,5.13 (4.78-5.48),5.86,4.05
GLU like neurons 17,1247,0.13,47.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,204,0.4,100.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,288,0.25,76.0,93,4,4.3,3.45 (2.71-4.20),89,95.7,5.25 (4.73-5.76),4.84,3.91
endothelial cells 9,1653,0.253,98.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.239,46.0,110,4,3.64,3.75 (3.08-4.42),106,96.36,5.04 (4.58-5.50),1.90,3.59
GABA like neurons 14,1300,0.279,81.0,306,7,2.29,3.10 (2.48-3.72),299,97.71,5.16 (4.89-5.43),9.79,6.63
astrocytes 8,1266,0.092,60.0,66,13,19.7,1.90 (1.19-2.60),53,80.3,3.62 (3.18-4.06),4.57,2.56
oligodendrocyte progenitor cells 12,153,0.437,64.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,130,0.53,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84,0.267,56.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,268,0.148,69.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,199,0.14,25.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398,0.153,52.0,138,10,7.25,2.47 (1.52-3.43),128,92.75,5.02 (4.65-5.39),2.77,2.73
astrocytes microglia 23,91,0.253,45.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,752,0.136,26.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.068,1.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.115,58.0,161,17,10.56,1.58 (0.98-2.19),144,89.44,3.49 (3.22-3.76),18.20,3.92
oligodendrocytes 3,357,0.151,81.0,127,1,0.79,NA,126,99.21,3.12 (2.79-3.45),13.52,4.16
oligodendrocytes 2,804,0.193,86.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05),3.05,3.40
