tipo_celular,module_size,FBXO33_MM,FBXO33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.197,42.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518,0.169,61.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.113,46.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,4285,0.132,46.0,353,17,4.82,2.37 (1.63-3.10),336,95.18,3.99 (3.80-4.18),16.18,7.65
GABA neurons expressing GLU receptors 22,567,0.214,60.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247,0.114,34.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,265,0.101,13.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,93,0.155,52.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.089,20.0,297,4,1.35,4.57 (3.62-5.52),293,98.65,3.66 (3.45-3.86),13.96,5.40
oligodendrocytes 20,676,0.046,19.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,3052,0.153,62.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,283,0.064,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.06,26.0,276,21,7.61,2.41 (1.80-3.02),255,92.39,3.67 (3.44-3.89),9.49,4.75
oligodendrocytes 10,806,0.033,3.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,102,0.325,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.062,25.0,105,8,7.62,1.30 (0.66-1.94),97,92.38,3.38 (3.05-3.72),6.68,3.76
oligodendrocytes 16,84,0.123,10.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,448,0.094,41.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,39,0.314,27.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 4,1807,0.16,78.0,104,10,9.62,1.70 (0.98-2.42),94,90.38,3.00 (2.71-3.29),8.86,5.03
oligodendrocytes 0,2078,0.116,52.0,238,9,3.78,3.33 (2.30-4.35),229,96.22,3.65 (3.42-3.88),6.03,4.98
microglia 1,1615,0.12,64.0,161,17,10.56,2.41 (1.67-3.14),144,89.44,3.40 (3.12-3.68),6.87,5.26
oligodendrocytes 3,94,0.052,14.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630,0.126,21.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
