tipo_celular,module_size,TMCO1_MM,TMCO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.154,36.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,393,0.116,24.0,59,1,1.69,4.02 (NA-NA),58,98.31,3.09 (2.58-3.60),3.10,5.38
astrocytes 5,328,0.163,49.0,128,1,0.78,3.77 (NA-NA),127,99.22,3.57 (3.22-3.91),2.40,6.80
oligodendrocyte progenitor cells 7,628,0.181,60.0,164,11,6.71,4.06 (3.40-4.71),153,93.29,4.09 (3.73-4.44),5.82,7.65
GABA neurons expressing GLU receptors 22,487,0.185,37.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316,0.137,62.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.169,47.0,410,33,8.05,3.28 (2.85-3.70),377,91.95,4.37 (4.17-4.56),7.81,7.49
GABA neurons expressing GABA receptors 13,90,0.14,33.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70),2.07,1.61
endothelial cells 9,916,0.169,37.0,302,11,3.64,2.60 (1.86-3.35),291,96.36,4.05 (3.82-4.28),5.16,10.86
oligodendrocytes 20,938,0.151,62.0,169,11,6.51,2.68 (1.76-3.59),158,93.49,3.55 (3.33-3.77),3.70,5.48
GABA like neurons 14,2402,0.451,84.0,455,31,6.81,2.84 (2.23-3.46),424,93.19,4.49 (4.30-4.67),20.07,8.01
astrocytes 8,603,0.106,68.0,89,2,2.25,4.34 (1.32-7.36),87,97.75,2.71 (2.36-3.06),2.43,6.13
oligodendrocyte progenitor cells 12,1049,0.155,76.0,235,9,3.83,3.93 (3.12-4.75),226,96.17,3.82 (3.58-4.06),3.81,7.77
oligodendrocytes 10,735,0.155,78.0,277,1,0.36,5.88 (NA-NA),276,99.64,3.88 (3.64-4.13),8.09,8.95
connective tissue cells 21,104,0.218,18.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,261,0.261,90.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,71,0.285,80.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,729,0.149,48.0,182,3,1.65,2.60 (2.60-2.60),179,98.35,3.66 (3.40-3.91),2.60,8.62
astrocytes microglia 23,116,0.186,1.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807,0.139,40.0,104,13,12.5,2.56 (1.73-3.39),91,87.5,2.91 (2.61-3.21),8.43,4.96
oligodendrocytes 0,546,0.091,7.0,252,24,9.52,2.50 (1.83-3.17),228,90.48,4.32 (4.07-4.57),9.79,8.04
microglia 1,406,0.115,24.0,278,5,1.8,4.10 (3.58-4.62),273,98.2,4.37 (4.09-4.65),3.01,6.80
oligodendrocytes 3,743,0.068,29.0,76,6,7.89,4.12 (3.42-4.81),70,92.11,3.07 (2.65-3.49),5.63,7.43
oligodendrocytes 2,526,0.197,28.0,213,1,0.47,2.60 (NA-NA),212,99.53,3.99 (3.71-4.26),1.78,7.97
