tipo_celular,module_size,STARD3NL_MM,STARD3NL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.126,26.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,477,0.172,56.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.115,49.0,136,7,5.15,3.28 (2.57-3.99),129,94.85,3.20 (2.92-3.49),4.05,5.04
oligodendrocyte progenitor cells 7,4285,0.094,6.0,353,26,7.37,2.10 (1.57-2.64),327,92.63,4.08 (3.89-4.26),22.76,6.90
GABA neurons expressing GLU receptors 22,823,0.157,35.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316,0.085,15.0,101,3,2.97,4.39 (3.01-5.78),98,97.03,3.00 (2.64-3.36),2.28,3.08
da like neurons 11,140,0.186,39.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,101,0.249,98.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,658,0.102,13.0,120,4,3.33,3.51 (2.24-4.78),116,96.67,4.65 (4.33-4.97),2.12,3.70
oligodendrocytes 20,233,0.215,63.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.263,58.0,455,37,8.13,3.07 (2.58-3.56),418,91.87,4.50 (4.31-4.70),18.14,8.01
astrocytes 8,283,0.104,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049,0.031,3.0,235,16,6.81,3.64 (3.29-3.99),219,93.19,3.84 (3.59-4.09),4.32,7.86
oligodendrocytes 10,735,0.094,49.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,77,0.374,90.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,367,0.242,92.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,121,0.226,59.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,553,0.068,4.0,124,4,3.23,3.41 (1.43-5.39),120,96.77,4.22 (3.82-4.62),3.08,3.03
astrocytes microglia 23,125,0.416,96.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807,0.146,53.0,104,14,13.46,2.57 (1.84-3.29),90,86.54,2.91 (2.61-3.22),6.81,5.18
oligodendrocytes 0,2078,0.088,8.0,238,5,2.1,2.38 (1.14-3.63),233,97.9,3.67 (3.45-3.89),8.55,4.95
microglia 1,958,0.081,9.0,290,6,2.07,2.29 (1.74-2.84),284,97.93,3.85 (3.62-4.09),6.11,4.98
oligodendrocytes 3,457,0.056,11.0,345,26,7.54,3.05 (2.71-3.40),319,92.46,4.42 (4.20-4.64),10.21,5.32
oligodendrocytes 2,1630,0.142,49.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
