tipo_celular,module_size,EVL_MM,EVL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.159,48.0,32,2,6.25,5.98 (NA-NA),30,93.75,3.64 (2.85-4.43),1.45,3.76
T cells 18,388,0.109,25.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,117,0.087,6.0,28,6,21.43,4.25 (2.77-5.72),22,78.57,5.64 (5.09-6.20),2.08,2.51
oligodendrocyte progenitor cells 7,4285,0.09,5.0,353,14,3.97,2.00 (1.39-2.60),339,96.03,3.99 (3.81-4.18),17.19,7.69
GABA neurons expressing GLU receptors 22,459,0.091,15.0,165,12,7.27,2.58 (1.72-3.44),153,92.73,5.33 (5.00-5.66),4.27,4.08
GLU like neurons 17,489,0.14,53.0,42,8,19.05,4.83 (4.17-5.50),34,80.95,6.41 (5.77-7.05),3.74,3.09
da like neurons 11,853,0.116,38.0,133,10,7.52,3.37 (2.25-4.49),123,92.48,3.24 (2.92-3.57),3.33,4.23
GABA neurons expressing GABA receptors 13,80,0.099,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653,0.076,10.0,297,2,0.67,4.68 (2.94-6.43),295,99.33,3.66 (3.46-3.87),2.55,5.54
oligodendrocytes 20,279,0.141,25.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300,0.228,60.0,306,51,16.67,3.88 (3.41-4.35),255,83.33,5.46 (5.17-5.75),8.32,6.38
astrocytes 8,603,0.061,35.0,89,2,2.25,4.13 (3.00-5.25),87,97.75,2.72 (2.36-3.07),1.85,6.14
oligodendrocyte progenitor cells 12,3303,0.069,37.0,276,9,3.26,2.36 (1.37-3.34),267,96.74,3.59 (3.37-3.82),4.63,5.13
oligodendrocytes 10,2107,0.039,3.0,358,17,4.75,1.64 (1.18-2.10),341,95.25,4.01 (3.82-4.20),13.56,9.27
connective tissue cells 21,102,0.297,60.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75),NA,1.41
astrocytes 15,443,0.063,6.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,78,0.186,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.095,25.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,253,0.318,87.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,251,0.136,29.0,34,4,11.76,3.86 (2.16-5.55),30,88.24,5.51 (4.90-6.12),2.55,3.14
oligodendrocytes 0,309,0.095,11.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315,0.159,43.0,144,22,15.28,4.85 (4.09-5.62),122,84.72,4.38 (4.05-4.72),3.05,4.41
oligodendrocytes 3,242,0.158,63.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,347,0.223,62.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
