tipo_celular,module_size,MT-ND3_MM,MT-ND3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.213,43.0,98,7,7.14,3.15 (2.01-4.29),91,92.86,3.22 (2.71-3.73),2.25,14.32
T cells 18,506,0.182,49.0,225,33,14.67,3.51 (3.07-3.94),192,85.33,3.63 (3.34-3.93),3.45,8.67
astrocytes 5,228,0.167,44.0,266,65,24.44,3.42 (3.08-3.75),201,75.56,4.44 (4.19-4.69),6.64,4.44
oligodendrocyte progenitor cells 7,628,0.211,73.0,164,31,18.9,4.01 (3.50-4.51),133,81.1,4.11 (3.71-4.50),4.30,8.28
GABA neurons expressing GLU receptors 22,192,0.822,99.0,55,43,78.18,3.94 (3.58-4.29),12,21.82,4.41 (2.73-6.10),3.78,1.70
GLU like neurons 17,637,0.235,72.0,91,9,9.89,0.65 (0.26-1.05),82,90.11,5.06 (4.62-5.51),3.31,3.03
da like neurons 11,1220,0.338,87.0,410,69,16.83,3.71 (3.45-3.97),341,83.17,4.40 (4.17-4.62),16.91,5.61
GABA neurons expressing GABA receptors 13,417,0.175,59.0,213,77,36.15,3.28 (2.94-3.62),136,63.85,4.15 (3.81-4.48),15.18,6.57
endothelial cells 9,916,0.247,61.0,302,61,20.2,3.78 (3.48-4.08),241,79.8,4.05 (3.76-4.34),19.13,8.51
oligodendrocytes 20,938,0.123,49.0,169,53,31.36,3.62 (3.31-3.92),116,68.64,3.40 (3.11-3.70),4.03,5.97
GABA like neurons 14,2402,0.068,3.0,455,70,15.38,3.40 (3.04-3.76),385,84.62,4.58 (4.37-4.78),18.53,7.07
astrocytes 8,47,0.684,85.0,76,21,27.63,3.80 (3.16-4.43),55,72.37,4.11 (3.76-4.45),5.57,4.24
oligodendrocyte progenitor cells 12,708,0.196,76.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99),1.76,2.60
oligodendrocytes 10,483,0.235,76.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,125,0.14,2.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,418,0.244,63.0,54,22,40.74,3.55 (3.03-4.06),32,59.26,3.78 (3.12-4.44),3.27,2.83
oligodendrocytes 16,149,0.33,83.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12),3.09,3.32
da neurons 6,729,0.158,53.0,182,18,9.89,4.00 (3.25-4.74),164,90.11,3.59 (3.32-3.86),13.97,7.92
astrocytes microglia 23,46,0.684,83.0,73,62,84.93,3.81 (3.55-4.08),11,15.07,6.53 (5.92-7.13),5.68,3.01
astrocytes 4,157,0.472,94.0,178,68,38.2,3.47 (3.14-3.80),110,61.8,4.77 (4.41-5.14),5.78,3.70
oligodendrocytes 0,116,0.507,94.0,169,10,5.92,3.03 (2.63-3.43),159,94.08,4.39 (4.07-4.70),3.78,6.66
microglia 1,214,0.219,62.0,227,64,28.19,3.80 (3.54-4.05),163,71.81,4.26 (3.92-4.60),9.22,4.90
oligodendrocytes 3,32,0.745,78.0,81,66,81.48,3.77 (3.52-4.03),15,18.52,5.91 (4.93-6.88),8.91,3.26
oligodendrocytes 2,99,0.496,90.0,116,9,7.76,2.97 (2.61-3.32),107,92.24,4.07 (3.75-4.39),3.34,7.56
