tipo_celular,module_size,ABR_MM,ABR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.235,52.0,140,14,10.0,4.39 (2.97-5.81),126,90.0,4.58 (4.30-4.85),5.00,3.38
T cells 18,727.0,0.223,93.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,117.0,0.138,39.0,28,8,28.57,4.49 (3.59-5.39),20,71.43,5.69 (5.00-6.38),2.34,2.45
oligodendrocyte progenitor cells 7,200.0,0.197,60.0,16,2,12.5,6.38 (4.00-8.75),14,87.5,3.52 (2.87-4.17),1.64,4.66
GABA neurons expressing GLU receptors 22,1069.0,0.198,73.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,300.0,0.125,9.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,853.0,0.324,99.0,133,2,1.5,1.86 (-1.39-5.11),131,98.5,3.28 (2.97-3.59),5.06,4.15
GABA neurons expressing GABA receptors 13,200.0,0.118,20.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82),1.55,3.55
endothelial cells 9,1653.0,0.164,76.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.372,99.0,306,36,11.76,3.97 (3.28-4.66),270,88.24,5.31 (5.04-5.59),8.94,6.41
astrocytes 8,279.0,0.363,92.0,78,15,19.23,3.67 (2.71-4.63),63,80.77,4.47 (4.02-4.92),2.41,2.78
oligodendrocyte progenitor cells 12,3303.0,0.084,57.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81),6.61,5.09
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,93.0,0.255,36.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,208.0,0.305,64.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72),1.75,3.17
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.138,79.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,229.0,0.299,54.0,99,5,5.05,5.51 (4.46-6.56),94,94.95,4.22 (3.88-4.57),4.73,3.16
astrocytes 4,251.0,0.223,85.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.231,74.0,144,8,5.56,6.09 (4.07-8.11),136,94.44,4.36 (4.07-4.66),4.04,4.22
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
