tipo_celular,module_size,PTEN_MM,PTEN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.189,67.0,97,3,3.09,3.32 (1.50-5.13),94,96.91,3.04 (2.64-3.45),4.11,4.93
T cells 18,624,0.211,87.0,142,8,5.63,3.53 (3.17-3.90),134,94.37,3.19 (2.90-3.47),2.96,4.38
astrocytes 5,1141,0.167,89.0,166,57,34.34,2.94 (2.56-3.31),109,65.66,3.70 (3.38-4.03),5.86,3.87
oligodendrocyte progenitor cells 7,4285,0.158,83.0,353,94,26.63,2.87 (2.54-3.20),259,73.37,4.37 (4.18-4.56),15.85,5.24
GABA neurons expressing GLU receptors 22,848,0.165,29.0,262,71,27.1,4.59 (4.14-5.04),191,72.9,3.94 (3.65-4.22),4.78,3.85
GLU like neurons 17,380,0.101,7.0,39,7,17.95,3.53 (3.04-4.02),32,82.05,2.83 (2.16-3.50),2.29,2.63
da like neurons 11,172,0.331,80.0,8,3,37.5,NA,5,62.5,3.69 (3.52-3.86),1.30,3.81
GABA neurons expressing GABA receptors 13,238,0.114,19.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,586,0.574,96.0,62,5,8.06,4.27 (2.59-5.95),57,91.94,4.02 (3.56-4.49),2.13,4.39
oligodendrocytes 20,250,0.176,50.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052,0.058,3.0,125,8,6.4,5.40 (3.92-6.88),117,93.6,3.22 (2.91-3.53),2.38,9.04
astrocytes 8,577,0.046,15.0,83,9,10.84,3.30 (1.77-4.82),74,89.16,3.24 (2.77-3.72),2.61,4.70
oligodendrocyte progenitor cells 12,3303,0.114,85.0,276,90,32.61,3.21 (2.87-3.55),186,67.39,3.76 (3.48-4.04),7.88,3.77
oligodendrocytes 10,2107,0.412,98.0,358,91,25.42,2.54 (2.28-2.80),267,74.58,4.51 (4.31-4.71),20.28,5.79
connective tissue cells 21,147,0.183,24.0,4,2,50.0,5.73 (5.42-6.03),2,50.0,4.95 (4.74-5.17),1.55,5.80
astrocytes 15,1401,0.082,46.0,96,18,18.75,4.00 (3.18-4.83),78,81.25,3.50 (2.97-4.02),2.76,4.04
oligodendrocytes 16,108,0.242,73.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,553,0.155,68.0,124,14,11.29,3.89 (3.18-4.60),110,88.71,4.23 (3.79-4.68),3.10,3.02
astrocytes microglia 23,58,0.29,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.168,71.0,96,24,25.0,3.74 (3.17-4.31),72,75.0,3.13 (2.74-3.52),2.30,4.99
oligodendrocytes 0,1186,0.144,48.0,300,28,9.33,3.98 (3.52-4.44),272,90.67,3.77 (3.55-3.99),3.72,4.20
microglia 1,813,0.167,85.0,79,1,1.27,4.05 (NA-NA),78,98.73,3.09 (2.68-3.49),1.48,7.98
oligodendrocytes 3,854,0.103,65.0,76,5,6.58,3.07 (1.50-4.63),71,93.42,2.76 (2.42-3.09),3.12,4.83
oligodendrocytes 2,921,0.125,30.0,200,13,6.5,2.81 (2.08-3.53),187,93.5,3.67 (3.39-3.95),3.78,3.44
