tipo_celular,module_size,FDPS_MM,FDPS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.194,58.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,282,0.075,3.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656,0.086,11.0,136,3,2.21,1.37 (1.18-1.56),133,97.79,3.26 (2.98-3.53),7.93,4.92
oligodendrocyte progenitor cells 7,628,0.118,16.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,487,0.254,65.0,73,2,2.74,1.44 (1.20-1.67),71,97.26,2.80 (2.41-3.19),3.21,7.44
GLU like neurons 17,1247,0.137,52.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.119,24.0,410,7,1.71,3.10 (2.25-3.94),403,98.29,4.28 (4.09-4.46),8.69,7.49
GABA neurons expressing GABA receptors 13,265,0.126,31.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,559,0.166,54.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938,0.23,87.0,169,5,2.96,1.92 (0.40-3.44),164,97.04,3.54 (3.32-3.75),3.45,5.42
GABA like neurons 14,2402,0.3,66.0,455,21,4.62,1.66 (1.14-2.18),434,95.38,4.53 (4.35-4.70),24.86,8.06
astrocytes 8,520,0.099,41.0,288,4,1.39,2.68 (1.28-4.08),284,98.61,4.20 (4.00-4.40),3.24,4.71
oligodendrocyte progenitor cells 12,1049,0.099,54.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,735,0.116,61.0,277,4,1.44,3.65 (3.42-3.88),273,98.56,3.90 (3.65-4.14),2.83,9.04
connective tissue cells 21,103,0.532,100.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768,0.074,38.0,105,15,14.29,1.67 (1.23-2.11),90,85.71,3.49 (3.14-3.85),8.31,3.26
oligodendrocytes 16,69,0.388,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729,0.225,82.0,182,2,1.1,1.44 (1.20-1.67),180,98.9,3.67 (3.41-3.92),5.16,8.56
astrocytes microglia 23,107,0.337,63.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,1807,0.145,50.0,104,18,17.31,1.79 (1.32-2.25),86,82.69,3.11 (2.81-3.41),13.63,3.68
oligodendrocytes 0,546,0.131,28.0,252,18,7.14,1.39 (0.93-1.85),234,92.86,4.37 (4.14-4.61),11.49,7.96
microglia 1,1615,0.057,1.0,161,23,14.29,1.52 (1.09-1.96),138,85.71,3.64 (3.38-3.91),15.33,3.78
oligodendrocytes 3,187,0.053,8.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,526,0.185,25.0,213,2,0.94,3.77 (3.67-3.86),211,99.06,3.98 (3.70-4.26),2.25,7.99
