tipo_celular,module_size,DUT_MM,DUT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.086,7.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,282,0.196,67.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656,0.149,93.0,136,4,2.94,1.56 (1.16-1.96),132,97.06,3.27 (2.99-3.54),7.54,4.91
oligodendrocyte progenitor cells 7,4285,0.113,21.0,353,31,8.78,1.72 (1.29-2.15),322,91.22,4.16 (3.98-4.33),32.63,5.70
GABA neurons expressing GLU receptors 22,400,0.488,100.0,24,8,33.33,1.03 (0.29-1.76),16,66.67,2.72 (2.24-3.20),5.53,2.61
GLU like neurons 17,1316,0.065,6.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220,0.072,4.0,410,27,6.59,3.48 (3.10-3.85),383,93.41,4.30 (4.11-4.50),14.54,7.02
GABA neurons expressing GABA receptors 13,80,0.177,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916,0.122,21.0,302,14,4.64,3.47 (2.88-4.05),288,95.36,4.02 (3.78-4.25),11.25,10.62
oligodendrocytes 20,938,0.192,78.0,169,20,11.83,3.12 (2.46-3.78),149,88.17,3.53 (3.30-3.76),7.00,5.14
GABA like neurons 14,2402,0.162,29.0,455,42,9.23,2.39 (1.92-2.86),413,90.77,4.57 (4.39-4.76),19.52,7.75
astrocytes 8,603,0.052,24.0,89,6,6.74,1.15 (0.93-1.36),83,93.26,2.92 (2.56-3.29),6.32,6.02
oligodendrocyte progenitor cells 12,1049,0.041,9.0,235,12,5.11,3.90 (3.69-4.12),223,94.89,3.82 (3.58-4.06),10.03,7.48
oligodendrocytes 10,483,0.179,69.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,114,0.307,66.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,338,0.268,96.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,90,0.314,90.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,729,0.161,55.0,182,4,2.2,2.68 (1.27-4.09),178,97.8,3.66 (3.41-3.92),7.46,8.54
astrocytes microglia 23,58,0.246,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.185,97.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,86,0.117,19.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,1615,0.077,7.0,161,28,17.39,1.53 (1.17-1.89),133,82.61,3.74 (3.48-4.00),13.84,3.66
oligodendrocytes 3,854,0.059,14.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,526,0.129,8.0,213,9,4.23,3.90 (3.83-3.97),204,95.77,3.98 (3.69-4.27),4.70,8.08
