tipo_celular,module_size,COX4I1_MM,COX4I1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.211,64.0,140,1,0.71,3.19 (NA-NA),139,99.29,4.52 (4.10-4.95),3.04,3.58
T cells 18,506,0.183,50.0,225,20,8.89,3.25 (2.58-3.93),205,91.11,3.65 (3.39-3.92),3.69,8.31
astrocytes 5,328,0.253,78.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.211,73.0,164,22,13.41,3.78 (3.25-4.32),142,86.59,4.15 (3.77-4.52),5.04,7.91
GABA neurons expressing GLU receptors 22,487,0.399,93.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316,0.19,91.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,1220,0.387,92.0,410,34,8.29,3.31 (2.86-3.76),376,91.71,4.35 (4.16-4.55),19.10,6.47
GABA neurons expressing GABA receptors 13,417,0.313,97.0,213,48,22.54,2.65 (2.21-3.10),165,77.46,4.17 (3.91-4.43),16.61,7.67
endothelial cells 9,916,0.432,88.0,302,30,9.93,3.37 (2.83-3.91),272,90.07,4.06 (3.82-4.31),22.08,9.39
oligodendrocytes 20,938,0.098,35.0,169,24,14.2,3.25 (2.62-3.87),145,85.8,3.52 (3.29-3.76),4.98,5.43
GABA like neurons 14,2402,0.695,99.0,455,42,9.23,2.77 (2.27-3.28),413,90.77,4.55 (4.36-4.74),23.27,7.37
astrocytes 8,520,0.22,74.0,288,22,7.64,3.36 (2.77-3.96),266,92.36,4.26 (4.05-4.47),5.79,4.59
oligodendrocyte progenitor cells 12,1049,0.206,85.0,235,23,9.79,3.77 (3.26-4.28),212,90.21,3.83 (3.58-4.08),9.01,7.46
oligodendrocytes 10,735,0.299,100.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13),2.19,8.97
connective tissue cells 21,301,0.447,67.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65),5.13,7.08
astrocytes 15,418,0.048,24.0,54,23,42.59,3.64 (3.12-4.17),31,57.41,3.71 (3.04-4.38),3.24,2.85
oligodendrocytes 16,113,0.191,40.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729,0.304,96.0,182,10,5.49,3.79 (2.97-4.61),172,94.51,3.63 (3.36-3.89),7.27,8.59
astrocytes microglia 23,134,0.237,11.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,208,0.192,48.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546,0.229,74.0,252,38,15.08,2.73 (2.19-3.26),214,84.92,4.41 (4.15-4.67),10.08,7.88
microglia 1,406,0.269,64.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,457,0.229,87.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49),6.65,5.69
oligodendrocytes 2,526,0.381,80.0,213,25,11.74,3.83 (3.37-4.30),188,88.26,4.00 (3.69-4.31),11.43,7.47
