tipo_celular,module_size,CLIP1_MM,CLIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.215,69.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,727,0.133,41.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,322,0.19,58.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70),1.65,2.34
oligodendrocyte progenitor cells 7,200,0.181,52.0,16,1,6.25,2.43 (NA-NA),15,93.75,4.04 (3.20-4.89),1.63,4.46
GABA neurons expressing GLU receptors 22,1069,0.128,23.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489,0.223,83.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,265,0.236,68.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,80,0.178,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653,0.087,18.0,297,8,2.69,3.60 (2.66-4.55),289,97.31,3.68 (3.47-3.88),5.00,5.53
oligodendrocytes 20,322,0.065,22.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.281,82.0,306,19,6.21,3.16 (2.24-4.08),287,93.79,5.27 (5.00-5.53),5.65,6.78
astrocytes 8,260,0.242,93.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,19,6.88,2.47 (1.80-3.15),257,93.12,3.63 (3.40-3.85),5.07,5.11
oligodendrocytes 10,735,0.066,25.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,106,0.273,56.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,1401,0.111,71.0,96,15,15.62,3.59 (2.86-4.32),81,84.38,3.62 (3.09-4.15),4.08,3.74
oligodendrocytes 16,84,0.16,35.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,553,0.093,23.0,124,7,5.65,4.52 (2.36-6.68),117,94.35,4.16 (3.76-4.56),3.03,3.03
astrocytes microglia 23,253,0.225,35.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,161,0.115,10.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,2078,0.108,37.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88),7.14,5.00
microglia 1,1615,0.092,24.0,161,16,9.94,1.50 (0.82-2.17),145,90.06,3.50 (3.24-3.76),12.30,4.67
oligodendrocytes 3,357,0.079,37.0,127,4,3.15,5.93 (4.48-7.38),123,96.85,3.06 (2.74-3.39),2.82,4.28
oligodendrocytes 2,1630,0.108,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
