tipo_celular,module_size,TM2D3_MM,TM2D3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.174,52.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,388,0.097,16.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30),1.31,4.36
astrocytes 5,1656,0.131,75.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,1,0.28,0.21 (NA-NA),352,99.72,3.90 (3.72-4.09),28.66,8.01
GABA neurons expressing GLU receptors 22,848,0.128,14.0,262,3,1.15,1.95 (-0.48-4.38),259,98.85,4.19 (3.95-4.44),3.51,4.11
GLU like neurons 17,685,0.082,17.0,135,10,7.41,2.19 (1.56-2.83),125,92.59,3.29 (2.96-3.61),3.43,3.78
da like neurons 11,1220,0.133,30.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43),NA,7.52
GABA neurons expressing GABA receptors 13,265,0.071,3.0,78,1,1.28,4.35 (NA-NA),77,98.72,4.36 (3.94-4.78),2.55,4.29
endothelial cells 9,385,0.088,35.0,275,2,0.73,1.93 (1.64-2.21),273,99.27,3.97 (3.71-4.24),4.35,5.89
oligodendrocytes 20,271,0.153,39.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.32,70.0,455,0,0.0,NA,455,100.0,4.34 (4.15-4.53),NA,8.83
astrocytes 8,520,0.092,37.0,288,1,0.35,1.29 (NA-NA),287,99.65,4.18 (3.99-4.38),5.64,4.68
oligodendrocyte progenitor cells 12,3303,0.068,37.0,276,3,1.09,1.33 (0.59-2.06),273,98.91,3.57 (3.36-3.79),1.98,5.14
oligodendrocytes 10,806,0.127,39.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,301,0.096,0.0,158,1,0.63,3.13 (NA-NA),157,99.37,4.26 (3.89-4.63),1.80,7.10
astrocytes 15,338,0.211,84.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,85,0.157,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.101,42.0,122,2,1.64,0.75 (-0.32-1.81),120,98.36,4.06 (3.67-4.45),7.35,3.42
astrocytes microglia 23,126,0.377,77.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807,0.156,71.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17),12.93,5.32
oligodendrocytes 0,613,0.132,40.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,958,0.072,4.0,290,6,2.07,1.50 (0.94-2.06),284,97.93,3.88 (3.65-4.10),5.77,4.98
oligodendrocytes 3,743,0.081,49.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.143,15.0,175,3,1.71,1.71 (1.27-2.16),172,98.29,4.45 (4.10-4.80),3.84,4.63
