tipo_celular,module_size,AZIN1_MM,AZIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.246,71.0,102,27,26.47,2.48 (1.94-3.03),75,73.53,3.89 (3.47-4.32),4.54,2.49
T cells 18,477,0.143,38.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.193,74.0,80,4,5.0,3.85 (2.01-5.68),76,95.0,3.37 (2.88-3.87),2.25,5.17
oligodendrocyte progenitor cells 7,666,0.266,88.0,127,10,7.87,2.37 (1.45-3.29),117,92.13,4.02 (3.68-4.37),4.38,5.96
GABA neurons expressing GLU receptors 22,487,0.151,21.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17),2.63,7.39
GLU like neurons 17,1316,0.172,85.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,197,0.19,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.094,10.0,118,3,2.54,4.53 (3.64-5.43),115,97.46,4.74 (4.38-5.11),3.44,4.01
endothelial cells 9,385,0.136,74.0,275,30,10.91,2.06 (1.58-2.53),245,89.09,4.31 (4.04-4.57),9.42,5.45
oligodendrocytes 20,228,0.274,74.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,3052,0.234,99.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.139,78.0,83,4,4.82,1.79 (1.12-2.46),79,95.18,3.34 (2.88-3.81),2.56,4.57
oligodendrocyte progenitor cells 12,3303,0.053,19.0,276,26,9.42,2.36 (1.81-2.90),250,90.58,3.71 (3.48-3.94),9.76,4.63
oligodendrocytes 10,735,0.148,75.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14),2.58,8.97
connective tissue cells 21,57,0.462,93.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,1768,0.047,11.0,105,16,15.24,2.06 (1.43-2.70),89,84.76,3.44 (3.08-3.80),6.23,3.57
oligodendrocytes 16,156,0.203,56.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,553,0.126,49.0,124,2,1.61,2.17 (-1.29-5.63),122,98.39,4.23 (3.84-4.62),3.00,3.03
astrocytes microglia 23,327,0.38,71.0,120,18,15.0,1.98 (1.39-2.57),102,85.0,3.98 (3.68-4.27),4.00,2.58
astrocytes 4,514,0.288,83.0,95,7,7.37,2.70 (1.23-4.17),88,92.63,3.44 (3.00-3.88),2.57,4.81
oligodendrocytes 0,2078,0.15,98.0,238,6,2.52,2.80 (1.54-4.06),232,97.48,3.66 (3.44-3.89),6.12,4.99
microglia 1,480,0.257,76.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,457,0.067,19.0,345,10,2.9,3.68 (2.87-4.49),335,97.1,4.30 (4.08-4.51),6.85,5.66
oligodendrocytes 2,1630,0.175,97.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
