tipo_celular,module_size,AIG1_MM,AIG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.126,26.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,282,0.162,38.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,499,0.116,18.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285,0.107,14.0,353,8,2.27,1.57 (0.81-2.33),345,97.73,3.96 (3.77-4.14),22.11,7.74
GABA neurons expressing GLU receptors 22,459,0.085,13.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41),NA,4.09
GLU like neurons 17,795,0.187,73.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,71,0.493,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,265,0.099,10.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,1653,0.106,32.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,938,0.126,50.0,169,4,2.37,1.58 (0.14-3.02),165,97.63,3.54 (3.32-3.75),5.49,5.36
GABA like neurons 14,1300,0.186,41.0,306,3,0.98,1.15 (0.15-2.14),303,99.02,5.15 (4.89-5.41),2.96,6.74
astrocytes 8,262,0.178,69.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,218,0.187,39.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.177,61.0,358,7,1.96,1.47 (0.62-2.33),351,98.04,3.92 (3.73-4.12),20.53,9.25
connective tissue cells 21,84,0.232,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,1768,0.06,23.0,105,8,7.62,1.57 (0.81-2.33),97,92.38,3.36 (3.02-3.70),6.89,3.74
oligodendrocytes 16,199,0.232,87.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,448,0.095,41.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.234,39.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752,0.145,38.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,479,0.145,43.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615,0.114,57.0,161,7,4.35,1.47 (0.62-2.33),154,95.65,3.37 (3.10-3.64),7.73,5.33
oligodendrocytes 3,639,0.243,98.0,15,1,6.67,2.53 (NA-NA),14,93.33,3.38 (1.90-4.86),1.34,2.28
oligodendrocytes 2,804,0.204,91.0,84,3,3.57,1.18 (-0.18-2.54),81,96.43,2.76 (2.42-3.10),3.64,3.39
