tipo_celular,module_size,SMARCA2_MM,SMARCA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.136,14.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,388,0.262,87.0,84,19,22.62,3.88 (3.29-4.47),65,77.38,2.69 (2.33-3.05),2.24,4.93
astrocytes 5,118,0.276,91.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448,0.126,39.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,599,0.088,2.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,685,0.08,16.0,135,35,25.93,2.08 (1.78-2.39),100,74.07,3.68 (3.31-4.05),3.43,3.86
da like neurons 11,94,0.295,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200,0.149,49.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87),1.69,3.60
endothelial cells 9,658,0.271,70.0,120,10,8.33,2.98 (2.40-3.55),110,91.67,4.78 (4.45-5.10),3.45,3.67
oligodendrocytes 20,348,0.056,27.0,33,5,15.15,3.86 (2.48-5.24),28,84.85,2.61 (2.11-3.11),2.28,3.58
GABA like neurons 14,1300,0.13,17.0,306,23,7.52,2.73 (2.21-3.25),283,92.48,5.39 (5.13-5.65),6.69,6.71
astrocytes 8,279,0.201,21.0,78,12,15.38,2.49 (2.17-2.81),66,84.62,4.71 (4.28-5.15),2.59,2.73
oligodendrocyte progenitor cells 12,103,0.514,88.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107,0.258,83.0,358,111,31.01,2.64 (2.41-2.87),247,68.99,4.70 (4.51-4.90),17.60,5.82
connective tissue cells 21,116,0.219,12.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,268,0.386,98.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,88,0.174,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.11,60.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78),2.73,3.59
astrocytes microglia 23,122,0.175,7.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,201,0.144,26.0,18,1,5.56,2.46 (NA-NA),17,94.44,4.68 (3.78-5.58),1.74,3.17
oligodendrocytes 0,1186,0.142,46.0,300,44,14.67,3.87 (3.62-4.12),256,85.33,3.78 (3.53-4.02),4.21,4.15
microglia 1,1615,0.14,84.0,161,72,44.72,2.39 (2.12-2.66),89,55.28,4.33 (3.99-4.67),7.75,3.56
oligodendrocytes 3,854,0.141,89.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,804,0.148,47.0,84,12,14.29,2.43 (1.55-3.31),72,85.71,2.74 (2.38-3.11),2.59,3.53
