tipo_celular,module_size,ADGRB3_MM,ADGRB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.535,94.0,15,6,40.0,5.88 (4.87-6.89),9,60.0,5.69 (4.61-6.76),2.49,2.23
T cells 18,349,0.406,88.0,68,22,32.35,4.77 (3.72-5.81),46,67.65,4.08 (3.50-4.66),2.35,3.78
astrocytes 5,222,0.374,95.0,98,9,9.18,5.45 (3.24-7.65),89,90.82,4.51 (4.12-4.89),4.06,2.51
oligodendrocyte progenitor cells 7,436,0.142,59.0,219,28,12.79,5.43 (4.67-6.19),191,87.21,5.16 (4.86-5.47),8.63,4.02
GABA neurons expressing GLU receptors 22,459,0.185,62.0,165,18,10.91,2.60 (2.01-3.20),147,89.09,5.44 (5.11-5.77),4.75,4.01
GLU like neurons 17,795,0.49,100.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22),3.75,2.99
da like neurons 11,191,0.444,84.0,93,24,25.81,5.44 (4.59-6.28),69,74.19,5.75 (5.32-6.19),5.77,3.57
GABA neurons expressing GABA receptors 13,288,0.328,89.0,93,42,45.16,4.66 (3.99-5.34),51,54.84,5.73 (5.05-6.42),5.68,2.53
endothelial cells 9,450,0.381,77.0,74,18,24.32,6.06 (5.20-6.92),56,75.68,5.15 (4.45-5.84),5.81,2.94
oligodendrocytes 20,676,0.302,54.0,110,31,28.18,5.04 (4.23-5.85),79,71.82,4.96 (4.43-5.49),5.02,2.94
GABA like neurons 14,3052,0.169,74.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262,0.48,100.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,411,0.366,83.0,103,15,14.56,5.91 (4.77-7.05),88,85.44,5.47 (5.07-5.87),4.05,2.92
oligodendrocytes 10,204,0.34,28.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,250,0.544,81.0,117,31,26.5,4.46 (3.70-5.22),86,73.5,5.87 (5.47-6.27),5.45,3.12
astrocytes 15,418,0.253,64.0,54,5,9.26,4.57 (2.93-6.22),49,90.74,3.58 (3.13-4.03),2.77,3.04
oligodendrocytes 16,149,0.299,75.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398,0.288,85.0,138,29,21.01,4.01 (3.29-4.73),109,78.99,5.07 (4.65-5.48),3.23,2.60
astrocytes microglia 23,122,0.603,100.0,46,4,8.7,6.55 (5.31-7.79),42,91.3,4.88 (4.29-5.46),2.35,3.29
astrocytes 4,220,0.263,90.0,63,23,36.51,5.17 (4.34-6.00),40,63.49,5.10 (4.32-5.87),4.46,2.62
oligodendrocytes 0,479,0.145,44.0,40,17,42.5,6.40 (5.50-7.29),23,57.5,5.39 (4.90-5.88),3.73,3.28
microglia 1,127,0.23,64.0,24,8,33.33,5.27 (3.97-6.57),16,66.67,5.09 (4.26-5.92),2.73,2.35
oligodendrocytes 3,854,0.106,67.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.2,89.0,84,3,3.57,1.23 (0.23-2.23),81,96.43,2.76 (2.42-3.10),2.91,3.41
