tipo_celular,module_size,PDE4B_MM,PDE4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.239,87.0,35,4,11.43,3.46 (3.43-3.49),31,88.57,3.79 (2.69-4.89),2.32,2.95
T cells 18,349,0.329,82.0,68,9,13.24,1.74 (1.23-2.24),59,86.76,4.85 (4.31-5.39),3.01,3.36
astrocytes 5,322,0.125,24.0,58,14,24.14,3.11 (2.49-3.74),44,75.86,4.60 (4.12-5.07),2.23,2.35
oligodendrocyte progenitor cells 7,229,0.083,8.0,45,6,13.33,5.27 (4.71-5.84),39,86.67,4.96 (4.25-5.67),2.56,5.79
GABA neurons expressing GLU receptors 22,567,0.266,75.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.366,89.0,91,12,13.19,1.13 (0.42-1.84),79,86.81,5.13 (4.69-5.58),3.11,3.05
da like neurons 11,191,0.467,88.0,93,18,19.35,4.02 (3.48-4.56),75,80.65,6.13 (5.72-6.55),3.17,4.37
GABA neurons expressing GABA receptors 13,288,0.583,99.0,93,9,9.68,2.83 (1.65-4.00),84,90.32,5.48 (4.99-5.97),2.20,4.14
endothelial cells 9,450,0.642,96.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.44,73.0,110,11,10.0,3.52 (2.21-4.82),99,90.0,5.23 (4.78-5.69),3.33,3.55
GABA like neurons 14,1300,0.185,40.0,306,51,16.67,3.39 (3.00-3.79),255,83.33,5.60 (5.32-5.87),4.07,7.23
astrocytes 8,771,0.436,89.0,48,2,4.17,3.09 (-1.42-7.60),46,95.83,4.50 (3.74-5.27),1.73,3.20
oligodendrocyte progenitor cells 12,708,0.161,69.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204,0.583,93.0,92,3,3.26,2.53 (2.34-2.73),89,96.74,5.82 (5.36-6.28),5.18,3.67
connective tissue cells 21,250,0.574,85.0,117,17,14.53,4.57 (3.53-5.61),100,85.47,5.53 (5.11-5.95),2.86,3.89
astrocytes 15,458,0.087,45.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.73,2.60
oligodendrocytes 16,313,0.114,7.0,291,30,10.31,3.27 (2.90-3.64),261,89.69,4.49 (4.25-4.74),3.62,3.84
da neurons 6,398,0.539,98.0,138,22,15.94,2.62 (1.96-3.27),116,84.06,5.31 (4.95-5.67),2.79,2.72
astrocytes microglia 23,327,0.197,10.0,120,56,46.67,2.81 (2.48-3.14),64,53.33,4.64 (4.28-5.01),2.95,2.66
astrocytes 4,220,0.166,52.0,63,5,7.94,2.91 (1.64-4.17),58,92.06,5.39 (4.83-5.95),2.37,3.37
oligodendrocytes 0,187,0.319,92.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,480,0.241,71.0,163,20,12.27,3.51 (3.13-3.89),143,87.73,3.74 (3.44-4.04),3.51,5.40
oligodendrocytes 3,187,0.255,92.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,237,0.264,69.0,26,8,30.77,7.01 (6.68-7.35),18,69.23,4.45 (3.68-5.22),1.80,2.88
