tipo_celular,module_size,UBQLN1_MM,UBQLN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.178,65.0,71,5,7.04,3.00 (0.55-5.44),66,92.96,2.59 (2.19-2.99),1.69,3.72
T cells 18,518,0.149,46.0,131,1,0.76,5.88 (NA-NA),130,99.24,3.05 (2.78-3.32),1.54,4.78
astrocytes 5,1656,0.137,83.0,136,2,1.47,2.85 (1.11-4.60),134,98.53,3.21 (2.94-3.49),3.45,5.01
oligodendrocyte progenitor cells 7,4285,0.156,80.0,353,54,15.3,2.65 (2.14-3.15),299,84.7,4.16 (3.98-4.34),21.19,5.69
GABA neurons expressing GLU receptors 22,703,0.184,50.0,23,2,8.7,1.18 (NA-NA),21,91.3,2.13 (1.39-2.88),1.45,4.16
GLU like neurons 17,1316,0.129,55.0,101,8,7.92,4.86 (3.30-6.42),93,92.08,2.93 (2.59-3.28),2.92,3.07
da like neurons 11,145,0.286,63.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,357,0.117,25.0,237,10,4.22,5.34 (4.36-6.31),227,95.78,4.36 (4.13-4.60),3.43,4.22
endothelial cells 9,385,0.091,37.0,275,48,17.45,2.55 (2.10-3.00),227,82.55,4.39 (4.11-4.66),8.91,5.24
oligodendrocytes 20,275,0.138,25.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402,0.187,37.0,455,50,10.99,3.34 (2.73-3.94),405,89.01,4.51 (4.32-4.69),14.78,8.10
astrocytes 8,520,0.128,55.0,288,27,9.38,3.77 (2.99-4.55),261,90.62,4.22 (4.02-4.42),6.05,4.54
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,42,15.22,2.60 (2.17-3.02),234,84.78,3.76 (3.52-4.00),11.64,3.94
oligodendrocytes 10,735,0.126,66.0,277,4,1.44,5.57 (5.03-6.12),273,98.56,3.86 (3.62-4.10),4.00,9.02
connective tissue cells 21,85,0.253,23.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768,0.141,89.0,105,25,23.81,2.57 (1.86-3.29),80,76.19,3.43 (3.07-3.80),6.38,3.23
oligodendrocytes 16,91,0.154,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.115,56.0,122,18,14.75,1.86 (1.21-2.50),104,85.25,4.50 (4.12-4.88),5.23,3.18
astrocytes microglia 23,114,0.315,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.169,81.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,613,0.161,67.0,127,9,7.09,2.35 (1.78-2.93),118,92.91,3.13 (2.68-3.58),4.24,6.43
microglia 1,958,0.143,86.0,290,23,7.93,2.64 (2.03-3.24),267,92.07,3.93 (3.69-4.17),4.62,5.03
oligodendrocytes 3,457,0.072,22.0,345,34,9.86,4.26 (3.61-4.91),311,90.14,4.28 (4.06-4.50),5.68,5.69
oligodendrocytes 2,921,0.174,94.0,200,11,5.5,3.19 (1.92-4.46),189,94.5,3.64 (3.37-3.92),2.88,3.50
