tipo_celular,module_size,HSPA4_MM,HSPA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.173,31.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,477,0.325,97.0,43,3,6.98,5.02 (1.82-8.22),40,93.02,1.76 (1.38-2.13),1.79,7.52
astrocytes 5,423,0.248,87.0,80,7,8.75,5.69 (4.12-7.26),73,91.25,3.18 (2.72-3.65),2.69,5.24
oligodendrocyte progenitor cells 7,666,0.495,98.0,127,10,7.87,4.11 (1.82-6.40),117,92.13,3.81 (3.48-4.15),3.91,6.00
GABA neurons expressing GLU receptors 22,848,0.193,43.0,262,35,13.36,3.07 (2.61-3.54),227,86.64,4.37 (4.10-4.64),6.28,3.77
GLU like neurons 17,1316,0.194,92.0,101,2,1.98,3.52 (2.21-4.83),99,98.02,3.04 (2.68-3.40),2.25,3.07
da like neurons 11,1220,0.22,63.0,410,45,10.98,3.91 (3.44-4.39),365,89.02,4.30 (4.10-4.50),10.26,7.18
GABA neurons expressing GABA receptors 13,357,0.172,55.0,237,17,7.17,3.62 (3.00-4.24),220,92.83,4.49 (4.25-4.74),4.36,4.17
endothelial cells 9,385,0.282,95.0,275,42,15.27,2.64 (1.99-3.29),233,84.73,4.26 (4.00-4.52),8.72,5.37
oligodendrocytes 20,358,0.027,6.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77),1.78,3.90
GABA like neurons 14,2402,0.314,69.0,455,55,12.09,3.26 (2.73-3.79),400,87.91,4.54 (4.35-4.73),16.78,7.74
astrocytes 8,577,0.188,91.0,83,5,6.02,6.75 (5.41-8.10),78,93.98,3.03 (2.62-3.44),4.78,4.45
oligodendrocyte progenitor cells 12,3303,0.077,49.0,276,33,11.96,2.53 (2.14-2.92),243,88.04,3.73 (3.49-3.97),9.06,4.57
oligodendrocytes 10,735,0.187,84.0,277,4,1.44,5.75 (4.42-7.07),273,98.56,3.86 (3.61-4.10),2.94,9.03
connective tissue cells 21,142,0.29,32.0,55,14,25.45,3.41 (1.80-5.02),41,74.55,3.42 (2.54-4.31),3.94,3.07
astrocytes 15,1768,0.089,51.0,105,20,19.05,1.92 (1.40-2.44),85,80.95,3.55 (3.18-3.91),4.76,3.79
oligodendrocytes 16,313,0.162,25.0,291,40,13.75,3.68 (3.23-4.14),251,86.25,4.47 (4.22-4.72),4.72,3.67
da neurons 6,409,0.233,84.0,235,18,7.66,3.41 (2.65-4.16),217,92.34,4.04 (3.78-4.30),4.43,4.41
astrocytes microglia 23,327,0.282,31.0,120,31,25.83,3.16 (2.42-3.91),89,74.17,3.78 (3.47-4.08),3.37,2.60
astrocytes 4,514,0.425,96.0,95,15,15.79,4.10 (3.09-5.12),80,84.21,3.20 (2.74-3.65),3.04,4.94
oligodendrocytes 0,613,0.18,80.0,127,13,10.24,3.79 (2.76-4.82),114,89.76,2.92 (2.47-3.37),3.13,6.64
microglia 1,958,0.216,99.0,290,22,7.59,3.38 (2.77-3.99),268,92.41,3.86 (3.61-4.10),5.50,4.96
oligodendrocytes 3,457,0.065,18.0,345,46,13.33,3.45 (3.07-3.82),299,86.67,4.44 (4.21-4.68),9.43,5.12
oligodendrocytes 2,921,0.194,98.0,200,15,7.5,3.22 (2.74-3.70),185,92.5,3.66 (3.37-3.95),4.81,3.35
