tipo_celular,module_size,PPM1G_MM,PPM1G_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.274,81.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,393,0.177,64.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656,0.097,22.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,628,0.15,40.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,487,0.153,22.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,685,0.094,25.0,135,9,6.67,1.28 (0.76-1.80),126,93.33,3.35 (3.04-3.66),5.07,3.65
da like neurons 11,102,0.103,13.0,8,2,25.0,3.07 (2.93-3.20),6,75.0,0.95 (NA-NA),2.40,1.76
GABA neurons expressing GABA receptors 13,417,0.094,6.0,213,16,7.51,1.22 (0.77-1.67),197,92.49,4.03 (3.80-4.26),7.40,9.87
endothelial cells 9,916,0.186,43.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,938,0.119,47.0,169,3,1.78,0.91 (-0.15-1.96),166,98.22,3.54 (3.32-3.75),7.54,5.32
GABA like neurons 14,2402,0.28,62.0,455,16,3.52,1.38 (0.86-1.89),439,96.48,4.49 (4.32-4.67),24.65,8.26
astrocytes 8,603,0.055,29.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,1049,0.08,41.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483,0.124,51.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,301,0.231,11.0,158,2,1.27,1.26 (-0.13-2.64),156,98.73,4.31 (3.94-4.67),9.85,7.03
astrocytes 15,1768,0.074,37.0,105,14,13.33,1.73 (1.24-2.22),91,86.67,3.46 (3.11-3.82),8.70,3.25
oligodendrocytes 16,104,0.195,34.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,409,0.112,43.0,235,5,2.13,1.73 (1.05-2.41),230,97.87,4.04 (3.79-4.29),6.49,4.37
astrocytes microglia 23,116,0.362,77.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807,0.129,23.0,104,18,17.31,1.92 (1.42-2.41),86,82.69,3.08 (2.77-3.39),13.78,3.64
oligodendrocytes 0,546,0.155,41.0,252,13,5.16,1.17 (0.71-1.63),239,94.84,4.31 (4.07-4.54),9.95,8.12
microglia 1,406,0.144,36.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,743,0.102,74.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.249,73.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
