tipo_celular,module_size,UBR3_MM,UBR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.115,19.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14),1.66,3.42
T cells 18,610,0.245,95.0,98,24,24.49,2.53 (1.99-3.07),74,75.51,3.34 (2.97-3.71),3.88,4.09
astrocytes 5,1141,0.176,94.0,166,31,18.67,3.22 (2.73-3.72),135,81.33,3.43 (3.14-3.72),5.80,4.26
oligodendrocyte progenitor cells 7,448,0.06,4.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.075,2.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316,0.167,82.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,132,0.511,100.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,73,0.16,49.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,1653,0.207,92.0,297,12,4.04,4.11 (3.34-4.89),285,95.96,3.66 (3.45-3.87),9.32,5.36
oligodendrocytes 20,676,0.532,82.0,110,2,1.82,3.44 (2.95-3.92),108,98.18,5.03 (4.58-5.49),1.67,3.56
GABA like neurons 14,1300,0.212,53.0,306,9,2.94,2.64 (1.90-3.38),297,97.06,5.19 (4.93-5.45),7.11,6.69
astrocytes 8,771,0.09,37.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,254,0.242,39.0,37,3,8.11,3.15 (2.52-3.78),34,91.89,4.64 (4.03-5.26),2.32,2.49
oligodendrocytes 10,236,0.424,32.0,82,3,3.66,3.15 (2.52-3.78),79,96.34,5.09 (4.55-5.62),3.28,3.86
connective tissue cells 21,145,0.246,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768,0.147,90.0,105,23,21.9,2.83 (2.31-3.35),82,78.1,3.33 (2.92-3.74),6.45,3.29
oligodendrocytes 16,153,0.363,51.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,518,0.116,56.0,122,15,12.3,2.97 (2.28-3.65),107,87.7,4.18 (3.75-4.62),3.30,3.51
astrocytes microglia 23,253,0.143,1.0,47,5,10.64,2.41 (-0.47-5.28),42,89.36,2.87 (2.54-3.20),2.01,3.21
astrocytes 4,752,0.171,76.0,96,7,7.29,4.95 (4.11-5.79),89,92.71,3.22 (2.89-3.56),2.86,4.43
oligodendrocytes 0,261,0.155,32.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75),NA,2.27
microglia 1,1615,0.13,76.0,161,32,19.88,2.81 (2.25-3.38),129,80.12,3.39 (3.09-3.69),7.22,4.99
oligodendrocytes 3,116,0.303,76.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05),NA,1.47
oligodendrocytes 2,804,0.128,21.0,84,29,34.52,3.21 (2.67-3.76),55,65.48,2.39 (1.99-2.80),3.69,3.24
