tipo_celular,module_size,GGNBP2_MM,GGNBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.123,20.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,610,0.231,92.0,98,7,7.14,0.61 (0.36-0.85),91,92.86,3.34 (3.04-3.63),12.05,3.42
astrocytes 5,423,0.09,7.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,7,1.98,0.61 (0.36-0.85),346,98.02,3.98 (3.80-4.16),59.42,7.02
GABA neurons expressing GLU receptors 22,848,0.06,2.0,262,0,0.0,NA,262,100.0,4.16 (3.91-4.40),NA,4.10
GLU like neurons 17,1247,0.067,8.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.076,9.0,133,5,3.76,0.61 (0.32-0.89),128,96.24,3.38 (3.07-3.68),8.25,4.00
GABA neurons expressing GABA receptors 13,93,0.121,19.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,385,0.085,28.0,275,7,2.55,0.61 (0.36-0.85),268,97.45,4.08 (3.83-4.33),13.21,5.69
oligodendrocytes 20,322,0.072,24.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090,0.151,48.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266,0.049,14.0,66,6,9.09,0.66 (0.40-0.92),60,90.91,3.53 (3.14-3.92),3.87,2.86
oligodendrocyte progenitor cells 12,3303,0.086,60.0,276,1,0.36,1.18 (NA-NA),275,99.64,3.55 (3.33-3.77),27.67,5.03
oligodendrocytes 10,735,0.083,40.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,116,0.265,39.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1401,0.088,52.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,64,0.344,94.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,553,0.106,33.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,108,0.271,22.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,721,0.127,12.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.131,83.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,958,0.135,80.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,357,0.061,20.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,921,0.136,47.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
