tipo_celular,module_size,DYNLRB1_MM,DYNLRB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.258,76.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,477,0.04,1.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,328,0.206,67.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.141,33.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,487,0.325,81.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,637,0.129,37.0,91,8,8.79,1.11 (0.16-2.05),83,91.21,5.00 (4.53-5.47),3.35,3.03
da like neurons 11,1220,0.278,77.0,410,4,0.98,2.69 (-0.62-6.00),406,99.02,4.27 (4.08-4.45),9.70,7.49
GABA neurons expressing GABA receptors 13,417,0.137,33.0,213,9,4.23,0.71 (0.33-1.08),204,95.77,3.93 (3.70-4.16),9.84,9.68
endothelial cells 9,916,0.305,72.0,302,2,0.66,0.75 (-0.32-1.81),300,99.34,4.01 (3.79-4.23),3.39,10.70
oligodendrocytes 20,938,0.2,81.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74),3.88,5.38
GABA like neurons 14,2402,0.504,89.0,455,9,1.98,0.70 (0.37-1.02),446,98.02,4.43 (4.25-4.61),36.44,8.28
astrocytes 8,520,0.121,51.0,288,11,3.82,3.36 (1.97-4.74),277,96.18,4.21 (4.01-4.41),4.49,4.69
oligodendrocyte progenitor cells 12,1049,0.142,73.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07),1.98,7.64
oligodendrocytes 10,806,0.199,63.0,261,8,3.07,4.38 (3.01-5.75),253,96.93,4.36 (4.12-4.61),5.63,6.08
connective tissue cells 21,139,0.336,68.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,367,0.105,25.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,123,0.265,82.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,729,0.229,84.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92),3.49,8.58
astrocytes microglia 23,161,0.274,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208,0.136,15.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546,0.149,38.0,252,9,3.57,0.79 (0.44-1.14),243,96.43,4.25 (4.02-4.49),15.00,7.96
microglia 1,214,0.115,17.0,227,10,4.41,4.38 (3.32-5.43),217,95.59,4.07 (3.83-4.32),3.69,6.23
oligodendrocytes 3,457,0.104,43.0,345,6,1.74,4.35 (2.72-5.97),339,98.26,4.27 (4.06-4.48),3.79,5.73
oligodendrocytes 2,526,0.208,31.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
