tipo_celular,module_size,TPT1_MM,TPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.422,80.0,98,13,13.27,2.34 (1.48-3.21),85,86.73,3.34 (2.83-3.86),11.99,13.68
T cells 18,506,0.415,88.0,225,25,11.11,2.96 (2.44-3.48),200,88.89,3.71 (3.43-3.98),11.95,7.40
astrocytes 5,328,0.264,82.0,128,11,8.59,5.33 (4.56-6.11),117,91.41,3.34 (2.99-3.68),2.58,7.16
oligodendrocyte progenitor cells 7,448,0.276,88.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,400,0.212,59.0,24,8,33.33,1.07 (0.29-1.86),16,66.67,2.70 (2.22-3.17),5.80,2.47
GLU like neurons 17,685,0.275,89.0,135,37,27.41,3.35 (2.75-3.96),98,72.59,3.12 (2.77-3.48),4.13,3.60
da like neurons 11,1220,0.332,86.0,410,31,7.56,3.95 (3.38-4.52),379,92.44,4.28 (4.08-4.47),11.08,7.22
GABA neurons expressing GABA receptors 13,417,0.151,44.0,213,18,8.45,1.99 (0.89-3.08),195,91.55,3.92 (3.69-4.15),10.48,9.61
endothelial cells 9,916,0.506,92.0,302,8,2.65,4.18 (2.56-5.80),294,97.35,3.97 (3.75-4.20),7.36,10.74
oligodendrocytes 20,938,0.115,44.0,169,15,8.88,3.03 (2.15-3.92),154,91.12,3.52 (3.29-3.75),8.81,5.03
GABA like neurons 14,2402,0.531,91.0,455,28,6.15,2.83 (1.94-3.71),427,93.85,4.46 (4.28-4.64),24.00,7.84
astrocytes 8,603,0.178,87.0,89,3,3.37,1.86 (0.93-2.80),86,96.63,2.80 (2.44-3.17),5.93,6.05
oligodendrocyte progenitor cells 12,1049,0.351,94.0,235,12,5.11,4.09 (3.18-5.01),223,94.89,3.81 (3.57-4.05),9.51,7.51
oligodendrocytes 10,483,0.334,85.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,301,0.44,66.0,158,14,8.86,3.37 (2.52-4.22),144,91.14,4.39 (3.99-4.78),4.36,7.33
astrocytes 15,458,0.113,60.0,36,1,2.78,3.38 (NA-NA),35,97.22,3.78 (2.65-4.92),1.76,2.60
oligodendrocytes 16,96,0.246,60.0,102,14,13.73,2.19 (1.35-3.02),88,86.27,3.50 (3.15-3.85),6.70,7.82
da neurons 6,729,0.201,73.0,182,3,1.65,1.56 (1.55-1.57),179,98.35,3.68 (3.43-3.93),3.46,8.61
astrocytes microglia 23,137,0.3,30.0,188,15,7.98,2.11 (1.31-2.91),173,92.02,4.62 (4.29-4.96),7.30,7.13
astrocytes 4,208,0.161,30.0,173,17,9.83,4.22 (3.83-4.61),156,90.17,3.72 (3.38-4.07),3.03,5.90
oligodendrocytes 0,546,0.254,80.0,252,28,11.11,2.58 (1.87-3.29),224,88.89,4.31 (4.06-4.56),16.52,7.17
microglia 1,406,0.536,92.0,278,16,5.76,5.08 (4.49-5.66),262,94.24,4.30 (4.01-4.59),2.21,7.01
oligodendrocytes 3,303,0.251,87.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526,0.278,54.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23),1.86,7.97
