tipo_celular,module_size,TOMM70_MM,TOMM70_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.122,26.0,35,11,31.43,4.90 (3.86-5.93),24,68.57,3.04 (1.74-4.35),2.96,2.84
T cells 18,610,0.139,38.0,98,23,23.47,1.91 (1.37-2.46),75,76.53,3.54 (3.22-3.87),5.68,3.53
astrocytes 5,1656,0.129,72.0,136,4,2.94,2.18 (0.64-3.73),132,97.06,3.24 (2.97-3.52),7.28,4.92
oligodendrocyte progenitor cells 7,4285,0.146,66.0,353,43,12.18,2.16 (1.79-2.54),310,87.82,4.21 (4.03-4.40),19.79,6.44
GABA neurons expressing GLU receptors 22,487,0.337,84.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,637,0.055,4.0,91,12,13.19,1.14 (0.64-1.64),79,86.81,5.28 (4.86-5.70),3.79,2.95
da like neurons 11,1220,0.153,39.0,410,49,11.95,3.69 (3.30-4.09),361,88.05,4.35 (4.14-4.55),11.92,6.92
GABA neurons expressing GABA receptors 13,357,0.095,11.0,237,8,3.38,4.00 (3.56-4.45),229,96.62,4.43 (4.18-4.67),5.64,4.13
endothelial cells 9,338,0.087,24.0,191,6,3.14,3.26 (2.09-4.44),185,96.86,3.91 (3.68-4.14),4.00,9.33
oligodendrocytes 20,233,0.149,27.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.193,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354,0.081,24.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.05,15.0,276,32,11.59,2.30 (1.91-2.69),244,88.41,3.76 (3.53-4.00),8.60,4.65
oligodendrocytes 10,735,0.137,71.0,277,1,0.36,4.26 (NA-NA),276,99.64,3.89 (3.65-4.13),3.84,8.96
connective tissue cells 21,139,0.416,95.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,377,0.164,58.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,313,0.086,2.0,291,36,12.37,3.71 (3.28-4.14),255,87.63,4.45 (4.20-4.70),5.17,3.62
da neurons 6,300,0.12,35.0,159,5,3.14,4.23 (3.20-5.26),154,96.86,4.37 (4.05-4.69),2.52,3.77
astrocytes microglia 23,127,0.355,77.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807,0.14,42.0,104,16,15.38,2.08 (1.33-2.84),88,84.62,3.02 (2.73-3.31),9.34,4.68
oligodendrocytes 0,2078,0.107,36.0,238,10,4.2,2.76 (1.97-3.55),228,95.8,3.68 (3.46-3.91),7.29,4.92
microglia 1,214,0.083,4.0,227,19,8.37,3.51 (2.73-4.30),208,91.63,4.15 (3.90-4.39),10.76,5.70
oligodendrocytes 3,457,0.051,7.0,345,33,9.57,3.44 (3.03-3.85),312,90.43,4.38 (4.16-4.61),12.37,4.99
oligodendrocytes 2,1630,0.165,91.0,154,3,1.95,2.22 (1.70-2.73),151,98.05,3.27 (3.00-3.54),3.20,3.60
