tipo_celular,module_size,UBC_MM,UBC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.283,82.0,140,2,1.43,3.18 (3.18-3.18),138,98.57,4.54 (4.11-4.97),4.00,3.57
T cells 18,282,0.237,77.0,241,6,2.49,3.98 (3.06-4.91),235,97.51,4.06 (3.80-4.32),5.33,4.31
astrocytes 5,328,0.367,92.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.28,87.0,164,16,9.76,3.74 (3.14-4.34),148,90.24,4.14 (3.77-4.50),6.16,7.67
GABA neurons expressing GLU receptors 22,848,0.472,97.0,262,37,14.12,3.29 (2.83-3.74),225,85.88,4.33 (4.05-4.60),7.71,3.51
GLU like neurons 17,685,0.397,97.0,135,22,16.3,2.13 (1.59-2.66),113,83.7,3.38 (3.04-3.71),5.52,3.40
da like neurons 11,1220,0.536,98.0,410,46,11.22,3.39 (3.08-3.70),364,88.78,4.37 (4.16-4.58),12.99,6.82
GABA neurons expressing GABA receptors 13,417,0.252,90.0,213,40,18.78,2.13 (1.68-2.58),173,81.22,4.16 (3.92-4.40),10.26,9.55
endothelial cells 9,559,0.456,95.0,155,2,1.29,6.09 (6.09-6.09),153,98.71,4.30 (3.94-4.67),2.10,4.36
oligodendrocytes 20,938,0.281,93.0,169,36,21.3,3.15 (2.71-3.60),133,78.7,3.57 (3.32-3.82),6.39,5.08
GABA like neurons 14,2402,0.587,94.0,455,61,13.41,2.74 (2.37-3.11),394,86.59,4.65 (4.46-4.84),18.66,7.31
astrocytes 8,603,0.386,100.0,89,5,5.62,1.11 (0.86-1.36),84,94.38,2.90 (2.54-3.26),6.35,6.02
oligodendrocyte progenitor cells 12,1049,0.207,86.0,235,23,9.79,3.58 (3.13-4.03),212,90.21,3.85 (3.60-4.10),7.66,7.61
oligodendrocytes 10,806,0.37,87.0,261,26,9.96,3.16 (2.67-3.64),235,90.04,4.50 (4.25-4.76),6.74,5.99
connective tissue cells 21,301,0.35,46.0,158,12,7.59,2.96 (1.78-4.13),146,92.41,4.39 (4.01-4.76),5.80,7.17
astrocytes 15,377,0.149,48.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,90,0.164,21.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,409,0.166,68.0,235,16,6.81,2.76 (2.01-3.52),219,93.19,4.09 (3.83-4.34),7.64,4.18
astrocytes microglia 23,70,0.284,38.0,76,2,2.63,NA,74,97.37,4.20 (3.69-4.72),7.51,4.45
astrocytes 4,208,0.498,95.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546,0.282,87.0,252,61,24.21,2.82 (2.42-3.21),191,75.79,4.57 (4.31-4.84),10.91,7.35
microglia 1,214,0.225,65.0,227,11,4.85,2.76 (1.97-3.56),216,95.15,4.15 (3.91-4.39),16.24,5.60
oligodendrocytes 3,457,0.28,92.0,345,30,8.7,3.78 (3.38-4.18),315,91.3,4.33 (4.10-4.55),11.66,5.12
oligodendrocytes 2,526,0.495,92.0,213,8,3.76,4.15 (2.91-5.38),205,96.24,3.97 (3.69-4.25),6.55,7.99
